lab,strain.1,strain.2,Diff,n.1,n.2,s.pooled,t-value common,pval common,treatment,sex,Diff Multi,Std. Error REML,df REML,t-value REML,pval REML,measure.name,t-value GXL-TAUGAX,pval REML GXL-TAUGAX
HMGU,baseline,Arhgef4,59.270747097425556,283,7,174.39138566498812,0.8882978517716598,0.3751218371003566,Control,Female,40.296490609862566,81.25997937595248,12,0.4958959000399111,0.6289254032793952,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Elk4,Arhgef4,104.48406593406594,13,7,140.9870766279623,1.5807982897209414,0.13133611504184697,Control,Female,89.89923266786803,88.67719429274325,12,1.0137807514645825,0.33069251086287255,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Setmar,Arhgef4,143.9357142857143,7,7,162.54809068615444,1.6566116719807151,0.12349222843345109,Control,Female,90.94635573365534,89.00244802350335,12,1.0218410589070388,0.3270153934922867,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,Arhgef4,439.63714285714286,5,7,204.62697528499444,3.6692296241897635,0.004322618388713055,Control,Female,140.5532322987831,89.08894182388065,12,1.577673159219265,0.14062459247066736,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Arhgef4,102.65089285714271,8,7,129.38460535293666,1.532951835259246,0.14925674927260693,Control,Female,126.44007949034825,87.53826048389503,12,1.444397898603551,0.17422675261862233,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Arhgef4,260.0946428571426,2,7,141.32115462174252,2.295445538713026,0.05536142111196733,Control,Female,101.19700184990913,91.76734915725834,12,1.1027560758728199,0.29175799580290773,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Elk4,baseline,45.21331883664038,13,283,173.7380214213832,0.917467215370777,0.35964987371827484,Control,Female,49.60274205800547,80.7572015262562,12,0.6142206654087483,0.5505373208676705,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Setmar,baseline,84.66496718828876,7,283,175.13517401606327,1.2634952250848837,0.20743308402023855,Control,Female,50.64986512379277,81.13387438292442,12,0.6242751934258994,0.544133096396596,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,baseline,380.3663957597173,5,283,176.7548400131939,4.769938752785923,2.941090019066429e-6,Control,Female,100.25674168892053,81.24491935659606,12,1.2340062921212187,0.24082264260043346,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,baseline,43.38014575971715,8,283,173.84510775849046,0.6960176457137155,0.4869771323303298,Control,Female,86.14358888048568,79.52548512022008,12,1.0832199105766018,0.2999963820067198,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,baseline,200.82389575971706,2,283,174.89390931554917,1.618178728079867,0.10673803584405238,Control,Female,60.90051124004656,84.20924712160613,12,0.7232045567644187,0.48341313955570864,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Setmar,Elk4,39.45164835164837,7,13,155.03849945034037,0.5427893219294823,0.5939328300157498,Control,Female,1.0471230657873036,88.56229192415508,12,0.011823576863661816,0.9907606682059332,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,Elk4,335.1530769230769,5,13,182.7437178001824,3.4851476387630607,0.003057981563201056,Control,Female,50.65399963091505,88.71188618114792,12,0.5709945060516534,0.578540104034093,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Elk4,-1.8331730769232308,8,13,132.43213982509627,-0.030804707982884504,0.9757465742160341,Control,Female,36.54084682248022,87.09843355701918,12,0.4195350631485086,0.6822381410141434,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Elk4,155.61057692307668,2,13,140.16582305623774,1.4616319433146145,0.16759063746717417,Control,Female,11.297769182041094,91.54181487679394,12,0.12341648674156999,0.9038203450568297,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,Setmar,295.70142857142855,5,7,222.1698538924024,2.2730641495754003,0.046328712957302745,Control,Female,49.60687656512775,88.942055171014,12,0.5577437632821252,0.5872736410681796,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Setmar,-41.284821428571604,8,7,149.99931768388768,-0.5318014423518053,0.6038330965010454,Control,Female,35.493723756692916,87.38374490731249,12,0.4061822229562367,0.6917586027857952,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Setmar,116.1589285714283,2,7,175.12205166202318,0.8272838076913345,0.4353672947485637,Control,Female,10.25064611625379,91.61249081491147,12,0.1118913591920953,0.9127593951542735,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Slc38a10,-336.98625000000015,8,5,189.2945630702439,-3.1227150760693285,0.009702892077811841,Control,Female,-14.113152808434833,87.45866624476155,12,-0.16136940356416835,0.8744874702249777,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Slc38a10,-179.54250000000025,2,5,251.52874172249182,-0.8531602834803651,0.4325305502913138,Control,Female,-39.35623044887396,91.54893581041794,12,-0.4298928228982795,0.6748921722850854,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Tnfaip1,157.4437499999999,2,8,120.0189770150954,1.6593404334566657,0.1356300763587837,Control,Female,-25.243077640439125,90.15484038709276,12,-0.2799969200994017,0.7842479710277326,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,baseline,Arhgef4,65.14741311216426,422,9,163.7384153058123,1.1810966496359485,0.2382186977811878,Control,Female,40.296490609862566,81.25997937595248,12,0.4958959000399111,0.6289254032793952,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Elk4,Arhgef4,220.36666666666656,7,9,166.41424861728984,2.627638868483095,0.019877753456645386,Control,Female,89.89923266786803,88.67719429274325,12,1.0137807514645825,0.33069251086287255,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Setmar,Arhgef4,-38.97797619047617,7,9,82.89879167991408,-0.9329994097512001,0.36663294767797805,Control,Female,90.94635573365534,89.00244802350335,12,1.0218410589070388,0.3270153934922867,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Slc38a10,Arhgef4,101.3088541666666,8,9,213.15823064185108,0.9781086153516332,0.3435330605453458,Control,Female,140.5532322987831,89.08894182388065,12,1.577673159219265,0.14062459247066736,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,Arhgef4,153.6447916666666,8,9,191.48245425223254,1.6513177348754378,0.11944877319450653,Control,Female,126.44007949034825,87.53826048389503,12,1.444397898603551,0.17422675261862233,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,Arhgef4,27.11041666666665,8,9,124.15247513977855,0.4493891656100428,0.6595761386315757,Control,Female,101.19700184990913,91.76734915725834,12,1.1027560758728199,0.29175799580290773,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Elk4,baseline,155.2192535545023,7,422,166.23472857437937,2.4501937704940775,0.0146783561907087,Control,Female,49.60274205800547,80.7572015262562,12,0.6142206654087483,0.5505373208676705,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Setmar,baseline,-104.12538930264043,7,422,164.1685508846898,-1.664344682733677,0.09677716400393606,Control,Female,50.64986512379277,81.13387438292442,12,0.6242751934258994,0.544133096396596,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Slc38a10,baseline,36.16144105450235,8,422,168.0950598022585,0.602778523286429,0.5469752825298233,Control,Female,100.25674168892053,81.24491935659606,12,1.2340062921212187,0.24082264260043346,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,baseline,88.49737855450235,8,422,167.17822148713344,1.4832614064979734,0.1387409481866453,Control,Female,86.14358888048568,79.52548512022008,12,1.0832199105766018,0.2999963820067198,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,baseline,-38.03699644549761,8,422,164.93560988372346,-0.6461878329855111,0.5185040420905651,Control,Female,60.90051124004656,84.20924712160613,12,0.7232045567644187,0.48341313955570864,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Setmar,Elk4,-259.34464285714273,7,7,181.27264778454975,-2.676572584243416,0.02016429495263489,Control,Female,1.0471230657873036,88.56229192415508,12,0.011823576863661816,0.9907606682059332,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Slc38a10,Elk4,-119.05781249999995,8,7,274.5139492189883,-0.8379958446183717,0.4171745226630166,Control,Female,50.65399963091505,88.71188618114792,12,0.5709945060516534,0.578540104034093,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,Elk4,-66.72187499999995,8,7,255.4165968113323,-0.5047397545333194,0.622188696772525,Control,Female,36.54084682248022,87.09843355701918,12,0.4195350631485086,0.6822381410141434,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,Elk4,-193.2562499999999,8,7,201.78318428833077,-1.8505335398705496,0.08708827159109876,Control,Female,11.297769182041094,91.54181487679394,12,0.12341648674156999,0.9038203450568297,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Slc38a10,Setmar,140.28683035714278,8,7,230.07555838719355,1.1781343053762519,0.2598598970393001,Control,Female,49.60687656512775,88.942055171014,12,0.5577437632821252,0.5872736410681796,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,Setmar,192.62276785714278,8,7,206.91663098469468,1.7987077440337915,0.09531217917123078,Control,Female,35.493723756692916,87.38374490731249,12,0.4061822229562367,0.6917586027857952,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,Setmar,66.08839285714282,8,7,135.25275491801295,0.9441205590955237,0.36232512990882815,Control,Female,10.25064611625379,91.61249081491147,12,0.1118913591920953,0.9127593951542735,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,Slc38a10,52.3359375,8,8,285.59761058453546,0.36650122802416674,0.7194707107843312,Control,Female,-14.113152808434833,87.45866624476155,12,-0.16136940356416835,0.8744874702249777,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,Slc38a10,-74.19843749999995,8,8,242.47953291470495,-0.6119975290953743,0.5503499826608341,Control,Female,-39.35623044887396,91.54893581041794,12,-0.4298928228982795,0.6748921722850854,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,Tnfaip1,-126.53437499999995,8,8,222.25870050411248,-1.1386224675389809,0.2739702590556334,Control,Female,-25.243077640439125,90.15484038709276,12,-0.2799969200994017,0.7842479710277326,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,baseline,Arhgef4,-1.5082792207792863,308,8,202.2955610465777,-0.02081959155596745,0.9834027927214684,Control,Female,40.296490609862566,81.25997937595248,12,0.4958959000399111,0.6289254032793952,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Elk4,Arhgef4,-46.09821428571422,7,8,116.86770045372099,-0.762145671783673,0.45957824715651063,Control,Female,89.89923266786803,88.67719429274325,12,1.0137807514645825,0.33069251086287255,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Setmar,Arhgef4,152.71022727272725,11,8,264.8324137758889,1.240970678706,0.2314693200607578,Control,Female,90.94635573365534,89.00244802350335,12,1.0218410589070388,0.3270153934922867,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Slc38a10,Arhgef4,-49.58035714285711,14,8,100.32167681655702,-1.1150967221708228,0.27802934091786474,Control,Female,140.5532322987831,89.08894182388065,12,1.577673159219265,0.14062459247066736,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Tnfaip1,Arhgef4,116.65808823529414,17,8,176.59919358771486,1.5407266292113775,0.1370301127702888,Control,Female,126.44007949034825,87.53826048389503,12,1.444397898603551,0.17422675261862233,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Ttll4,Arhgef4,71.25,16,8,127.69281877188352,1.2885989071397506,0.21092459706171873,Control,Female,101.19700184990913,91.76734915725834,12,1.1027560758728199,0.29175799580290773,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Elk4,baseline,-44.589935064934934,7,308,201.9971111901936,-0.5775116940869314,0.5640090257811211,Control,Female,49.60274205800547,80.7572015262562,12,0.6142206654087483,0.5505373208676705,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Setmar,baseline,154.21850649350654,11,308,208.54042463484305,2.4100308325388995,0.016520399953256288,Control,Female,50.64986512379277,81.13387438292442,12,0.6242751934258994,0.544133096396596,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Slc38a10,baseline,-48.072077922077824,14,308,199.9610955231253,-0.8797490930102768,0.3796554253932811,Control,Female,100.25674168892053,81.24491935659606,12,1.2340062921212187,0.24082264260043346,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Tnfaip1,baseline,118.16636745607343,17,308,203.0040587643257,2.3364005644870605,0.020081537436493598,Control,Female,86.14358888048568,79.52548512022008,12,1.0832199105766018,0.2999963820067198,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Ttll4,baseline,72.75827922077929,16,308,200.5617264207057,1.414807014377501,0.15809137779442448,Control,Female,60.90051124004656,84.20924712160613,12,0.7232045567644187,0.48341313955570864,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Setmar,Elk4,198.80844155844147,11,7,263.82109354513454,1.558599077286078,0.13864965111189534,Control,Female,1.0471230657873036,88.56229192415508,12,0.011823576863661816,0.9907606682059332,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Slc38a10,Elk4,-3.4821428571428896,14,7,80.32773710085677,-0.093644967257167,0.9263716481970106,Control,Female,50.65399963091505,88.71188618114792,12,0.5709945060516534,0.578540104034093,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Tnfaip1,Elk4,162.75630252100837,17,7,170.37617656040706,2.127143587910816,0.04486245106619128,Control,Female,36.54084682248022,87.09843355701918,12,0.4195350631485086,0.6822381410141434,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Ttll4,Elk4,117.34821428571422,16,7,115.47616040745804,2.2424834339511674,0.03585191778881233,Control,Female,11.297769182041094,91.54181487679394,12,0.12341648674156999,0.9038203450568297,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Slc38a10,Setmar,-202.29058441558436,14,11,222.37445064124492,-2.2577774802952626,0.03375602298106528,Control,Female,49.60687656512775,88.942055171014,12,0.5577437632821252,0.5872736410681796,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
MRC_Harwell,Tnfaip1,Setmar,-36.05213903743311,17,11,252.17344970295431,-0.36946513783498097,0.7147732078026926,Control,Female,35.493723756692916,87.38374490731249,12,0.4061822229562367,0.6917586027857952,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
