lab,strain.1,strain.2,Diff,n.1,n.2,s.pooled,t-value common,pval common,treatment,sex,Diff Multi,Std. Error REML,df REML,t-value REML,pval REML,measure.name,t-value GXL-TAUGAX,pval REML GXL-TAUGAX
HMGU,baseline,Arhgef4,-138.09158163265306,294,7,232.07015375963047,-1.5559203150526193,0.12078484465272439,Control,Male,17.439850093332446,70.09324376695649,12,0.24880928825773616,0.8077156350283269,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Elk4,Arhgef4,-157.40649350649346,11,7,275.1125001530513,-1.1833723858958685,0.2539466143020656,Control,Male,-49.523958218232224,84.25298377694803,12,-0.587800645130175,0.56756318493899,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Setmar,Arhgef4,25.757142857142753,7,7,121.03163529041252,0.39813724569767134,0.697521411063087,Control,Male,127.92334052685462,82.4226586971151,12,1.5520409381229061,0.1466153438208373,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,Arhgef4,131.36651785714275,8,7,312.7199795977142,0.8116661662410319,0.4315944545211102,Control,Male,118.87145538879851,87.07084818743257,12,1.3652267993635543,0.19722962375284267,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Arhgef4,156.62142857142862,7,7,198.76615567761314,1.474153693679795,0.16618502136821992,Control,Male,115.20636194830826,82.42265869711514,12,1.3977511010857573,0.18749131892774865,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Arhgef4,24.57589285714289,4,7,136.95840259063542,0.28628809986445625,0.7811382235823577,Control,Male,17.098188183519287,85.43991531662567,12,0.20011944206822227,0.8447384939665228,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Elk4,baseline,-19.3149118738404,11,294,237.2833799204502,-0.2650607967978052,0.7911428563495027,Control,Male,-66.96380831156466,70.89105152848863,12,-0.9446017073770482,0.3634937569548833,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Setmar,baseline,163.8487244897958,7,294,231.50463635963962,1.8506436833470636,0.06520705316277489,Control,Male,110.48349043352218,68.82197148533967,12,1.6053520125772212,0.1343950433670533,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,baseline,269.4580994897958,8,294,238.88811839135462,3.1478344198537735,0.0018103364622959774,Control,Male,101.43160529546606,74.21317834402723,12,1.3667600223947207,0.19676133258159,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,baseline,294.7130102040817,7,294,233.64951409039128,3.29817627700533,0.0010906604487178413,Control,Male,97.76651185497582,68.82197148533969,12,1.4205712179547463,0.1809002773321988,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,baseline,162.66747448979595,4,294,232.6242704478694,1.3891246846220227,0.16583899949870345,Control,Male,-0.34166190981315836,72.47107309816494,12,-0.004714459096671078,0.9963158884165877,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Setmar,Elk4,183.16363636363621,7,11,266.05973018931127,1.4238663309853676,0.17369490079645566,Control,Male,177.44729874508684,83.21712041074275,12,2.132341252247652,0.054327770601896475,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,Elk4,288.7730113636362,8,11,362.03183260075355,1.7166208323169876,0.10421181349632934,Control,Male,168.39541360703072,87.58883039543639,12,1.9225672137277972,0.07858960667160841,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Elk4,314.0279220779221,7,11,299.052296354247,2.17185203403322,0.04524514919176089,Control,Male,164.73032016654048,83.21712041074277,12,1.979524397785758,0.07116268291022315,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Elk4,181.98238636363635,4,11,294.25774101618094,1.059210232946934,0.3087884839928141,Control,Male,66.62214640175151,86.35117066527737,12,0.7715256885167037,0.45532030900228937,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Slc38a10,Setmar,105.609375,8,7,302.9259226434327,0.6736191377304825,0.5123527103694399,Control,Male,-9.051885138056107,85.94960072170139,12,-0.10531619765594327,0.9178648561644891,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Setmar,130.86428571428587,7,7,181.59251368596037,1.348208996529822,0.20248937427067978,Control,Male,-12.71697857854636,81.27454472558898,12,-0.15646939175707825,0.8782646218141128,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Setmar,-1.1812499999998636,4,7,100.2401078348881,-0.018801087448003632,0.9854099985389404,Control,Male,-110.82515234333533,84.30079882451362,12,-1.3146394089815998,0.21320265681207332,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Tnfaip1,Slc38a10,25.25491071428587,7,8,338.69039921248975,0.14407589810755472,0.8876500564874481,Control,Male,-3.665093440490253,85.9496007217014,12,-0.04264235563301289,0.9666879566434101,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Slc38a10,-106.79062499999986,4,8,344.37886773009535,-0.5063851958301501,0.6235630188281475,Control,Male,-101.77326720527923,88.93696161323352,12,-1.1443303814208075,0.2747995581853969,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
HMGU,Ttll4,Tnfaip1,-132.04553571428573,4,7,207.83130119032663,-1.013667305927013,0.33721595674102545,Control,Male,-98.10817376478897,84.30079882451363,12,-1.1637870000380153,0.2671283563314206,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,baseline,Arhgef4,-49.43423913043489,414,10,172.29377428628916,-0.8965520574601661,0.370469143545064,Control,Male,17.439850093332446,70.09324376695649,12,0.24880928825773616,0.8077156350283269,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Elk4,Arhgef4,-129.11250000000018,7,10,140.07340352472343,-1.870411518887138,0.08106836050154964,Control,Male,-49.523958218232224,84.25298377694803,12,-0.587800645130175,0.56756318493899,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Setmar,Arhgef4,5.2708333333332575,9,10,155.95245764051828,0.07355827140157835,0.942220460993735,Control,Male,127.92334052685462,82.4226586971151,12,1.5520409381229061,0.1466153438208373,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Slc38a10,Arhgef4,-98.38125000000014,4,10,137.64191270398888,-1.20816879669241,0.25025326651072377,Control,Male,118.87145538879851,87.07084818743257,12,1.3652267993635543,0.19722962375284267,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,Arhgef4,-44.36666666666679,9,10,141.51336191068566,-0.6823446746363497,0.5042132190222244,Control,Male,115.20636194830826,82.42265869711514,12,1.3977511010857573,0.18749131892774865,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Ttll4,Arhgef4,-92.19375000000014,8,10,163.47970111234378,-1.188902899660512,0.25182431191793747,Control,Male,17.098188183519287,85.43991531662567,12,0.20011944206822227,0.8447384939665228,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Elk4,baseline,-79.67826086956529,7,414,172.69369155317202,-1.2105187358695988,0.22676230772132672,Control,Male,-66.96380831156466,70.89105152848863,12,-0.9446017073770482,0.3634937569548833,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Setmar,baseline,54.70507246376815,9,414,173.1024373034953,0.9379412935293546,0.34881234451495036,Control,Male,110.48349043352218,68.82197148533967,12,1.6053520125772212,0.1343950433670533,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Slc38a10,baseline,-48.94701086956525,4,414,172.85024872743458,-0.5636353089335338,0.5733060485441548,Control,Male,101.43160529546606,74.21317834402723,12,1.3667600223947207,0.19676133258159,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
ICS,Tnfaip1,baseline,5.0675724637681014,9,414,172.60074144204253,0.08713819351374295,0.9306030966012013,Control,Male,97.76651185497582,68.82197148533969,12,1.4205712179547463,0.1809002773321988,ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC,NA,NA
