"","X1","lab","strain","S2_interaction","S2_error","S2_lab","n_lab","n_strain","df2_IMPC","df1_IMPC","measure.mean.value","sex"
"1","ESLIM_004_001_701.Simplified.IPGTT.Glucose.response.AUC","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",7796.772,32690.934,28737.091,3,7,1154,12,1191.512,"Female"
"2","ESLIM_005_001_002.DEXA.Fat.mass","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",0.01212792,0.14929743,0.23203832,3,7,1153,12,1.528,"Female"
"3","ESLIM_005_001_003.DEXA.Lean.mass","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",0.008436226,0.027305793,0.04647129,3,7,1153,12,3.999,"Female"
"4","ESLIM_005_001_004.DEXA.Bone.Mineral.Density..excluding.skull.","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",2.752546e-06,7.609291e-06,1.422358e-05,3,7,1153,12,0.046,"Female"
"5","ESLIM_005_001_005.DEXA.Bone.Mineral.Content","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",0.01129206,0.02699106,0.03644497,3,7,1153,12,-1.068,"Female"
"6","ESLIM_005_001_006.DEXA.Body.length",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female"
"7","ESLIM_005_001_701.DEXA.BMC.Body.weight","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",1.404452e-06,3.219048e-06,6.617556e-06,3,7,1153,12,0.015,"Female"
"8","ESLIM_005_001_702.DEXA.Lean.Body.weight","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",4.455908e-11,0.002401648,0.003209622,3,7,1153,12,0.705,"Female"
"9","ESLIM_005_001_703.DEXA.Fat.Body.weight","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",0.0001169828,0.0017628287,0.0041798329,3,7,1129,12,0.116,"Female"
"10","ESLIM_005_001_704.DEXA.Bone.area..BMC.BMD.","HMGU_ICS_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",0.2311615,0.9639916,0.7030627,3,7,1153,12,7.591,"Female"
"11","ESLIM_007_001_003.Open.field.Whole.arena.resting.time","ICS_HMGU_MRC_Harwell","Arhgef4_baseline_Elk4_Setmar_Slc38a10_Tnfaip1_Ttll4_NA",1316.021,5600.473,17973.889,3,7,1057,12,252.594,"Female"
"12","ESLIM_007_001_004.Open.field.Whole.arena.permanence.time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female"
