"Comparison","Difference","p-value","CI-Low","CI-High","p-value","CI-Low","CI-High"
"C57BL/6J - C3H/HeJ","0.188525611618372","0.30406979715617","-0.182549953806446","0.559601177043191","0.884194220280232","-0.711085851741837","1.08813707497858"
"DBA/2J - C3H/HeJ","0.0572141665049086","0.720010824709883","-0.31386139891991","0.428289731929727","0.884194220280232","-0.8423972968553","0.956825629865118"
"FVB/NJ - C3H/HeJ","0.230146604071842","0.30406979715617","-0.198334551103581","0.658627759247265","0.884194220280232","-0.685106240853222","1.14539944899691"
"SJL/J - C3H/HeJ","-0.100356742307341","0.611007715708685","-0.528837897482764","0.328124412868081","0.884194220280232","-1.01560958723241","0.814896102617723"
"DBA/2J - C57BL/6J","-0.131311445113464","0.30406979715617","-0.434293375548651","0.171670485321723","0.884194220280232","-1.01700931861567","0.754386428388738"
"FVB/NJ - C57BL/6J","0.0416209924534696","0.739640968348686","-0.329454572971349","0.412696557878288","0.884194220280232","-0.857990470906739","0.941232455813679"
"SJL/J - C57BL/6J","-0.288882353925714","0.135122707860668","-0.659957919350532","0.0821932114991047","0.884194220280232","-1.18849381728592","0.610729109434495"
"FVB/NJ - DBA/2J","0.172932437566933","0.30406979715617","-0.198143127857885","0.544008002991752","0.884194220280232","-0.726679025793276","1.07254390092714"
"SJL/J - DBA/2J","-0.15757090881225","0.30406979715617","-0.528646474237069","0.213504656612568","0.884194220280232","-1.05718237217246","0.742040554547959"
"SJL/J - FVB/NJ","-0.330503346379183","0.135122707860668","-0.758984501554606","0.0979778087962396","0.884194220280232","-1.24575619130425","0.584749498545881"
