"Comparison","Difference","p-value","CI-Low","CI-High","p-value","CI-Low","CI-High"
"C57BL/6J - C3H/HeJ","-0.266763736533832","0.0882313505790028","-0.580086699690578","0.0465592266229136","0.480450328355447","-0.878852656929135","0.345325183861471"
"DBA/2J - C3H/HeJ","-0.373259313479078","0.0293969288008511","-0.686582276635824","-0.0599363503223324","0.362558149130229","-0.985348233874381","0.238829606916225"
"FVB/NJ - C3H/HeJ","-0.328002604442079","0.0377613090816128","-0.641325567598825","-0.0146796412853333","0.372708296236368","-0.940091524837382","0.284086315953224"
"SJL/J - C3H/HeJ","-0.379086922005999","0.0293969288008511","-0.707702818099684","-0.0504710259123132","0.362558149130229","-0.99968390195907","0.241510057947073"
"DBA/2J - C57BL/6J","-0.106495576945246","0.636636687163059","-0.419818540101992","0.2068273862115","0.913339382997278","-0.718584497340549","0.505593343450057"
"FVB/NJ - C57BL/6J","-0.061238867908247","0.787116818384836","-0.374561831064993","0.252084095248499","0.913339382997278","-0.67332778830355","0.550850052487056"
"SJL/J - C57BL/6J","-0.112323185472166","0.636636687163059","-0.440939081565852","0.216292710621519","0.913339382997278","-0.732920165425238","0.508273794480905"
"FVB/NJ - DBA/2J","0.0452567090369991","0.787116818384836","-0.268066254119747","0.358579672193745","0.913339382997278","-0.566832211358304","0.657345629432302"
"SJL/J - DBA/2J","-0.00582760852692044","0.963322241050687","-0.334443504620606","0.322788287566765","0.977274866613576","-0.626424588479992","0.614769371426151"
"SJL/J - FVB/NJ","-0.0510843175639195","0.787116818384836","-0.379700213657605","0.277531578529766","0.913339382997278","-0.671681297516991","0.569512662389152"
