"","strain","MALES_grip_strength","group"
"1","129S1/SvImJ",NA,"control"
"2","129S1/SvImJ",139,"control"
"3","129S1/SvImJ",151,"control"
"4","129S1/SvImJ",165,"control"
"5","129S1/SvImJ",159,"control"
"6","129S1/SvImJ",168,"control"
"7","129S1/SvImJ",150,"control"
"8","129S1/SvImJ",NA,"control"
"9","129S1/SvImJ",NA,"control"
"10","129S1/SvImJ",NA,"control"
"11","129S1/SvImJ",NA,"control"
"12","129S1/SvImJ",NA,"control"
"13","A/J",NA,"control"
"14","A/J",140,"control"
"15","A/J",139,"control"
"16","A/J",132,"control"
"17","A/J",152,"control"
"18","A/J",124,"control"
"19","A/J",134,"control"
"20","A/J",NA,"control"
"21","A/J",NA,"control"
"22","A/J",NA,"control"
"23","A/J",NA,"control"
"24","A/J",NA,"control"
"25","AKR/J",131,"control"
"26","AKR/J",126,"control"
"27","AKR/J",123,"control"
"28","AKR/J",137,"control"
"29","AKR/J",145,"control"
"30","AKR/J",118,"control"
"31","AKR/J",NA,"control"
"32","AKR/J",NA,"control"
"33","AKR/J",NA,"control"
"34","AKR/J",NA,"control"
"35","AKR/J",NA,"control"
"36","AKR/J",NA,"control"
"37","BALB/cByJ",171,"control"
"38","BALB/cByJ",174,"control"
"39","BALB/cByJ",NA,"control"
"40","BALB/cByJ",NA,"control"
"41","BALB/cByJ",180,"control"
"42","BALB/cByJ",173,"control"
"43","BALB/cByJ",NA,"control"
"44","BALB/cByJ",NA,"control"
"45","BALB/cByJ",NA,"control"
"46","BALB/cByJ",NA,"control"
"47","BALB/cByJ",149,"control"
"48","BALB/cByJ",166,"control"
"49","BTBR T<+> Itpr3<tf>/J",111,"control"
"50","BTBR T<+> Itpr3<tf>/J",106,"control"
"51","BTBR T<+> Itpr3<tf>/J",106,"control"
"52","BTBR T<+> Itpr3<tf>/J",108,"control"
"53","BTBR T<+> Itpr3<tf>/J",NA,"control"
"54","BTBR T<+> Itpr3<tf>/J",NA,"control"
"55","BTBR T<+> Itpr3<tf>/J",NA,"control"
"56","BTBR T<+> Itpr3<tf>/J",NA,"control"
"57","BTBR T<+> Itpr3<tf>/J",NA,"control"
"58","BTBR T<+> Itpr3<tf>/J",NA,"control"
"59","BTBR T<+> Itpr3<tf>/J",143,"control"
"60","C3H/HeJ",NA,"control"
"61","C3H/HeJ",NA,"control"
"62","C3H/HeJ",NA,"control"
"63","C3H/HeJ",NA,"control"
"64","C3H/HeJ",NA,"control"
"65","C3H/HeJ",155,"control"
"66","C3H/HeJ",152,"control"
"67","C3H/HeJ",161,"control"
"68","C3H/HeJ",171,"control"
"69","C3H/HeJ",183,"control"
