"","strain","MALES_body_weight","group"
"1","129S1/SvImJ",23.1,"control"
"2","129S1/SvImJ",29,"control"
"3","129S1/SvImJ",26.5,"control"
"4","129S1/SvImJ",27.6,"control"
"5","129S1/SvImJ",26.8,"control"
"6","129S1/SvImJ",27.1,"control"
"7","129S1/SvImJ",22.5,"control"
"8","129S1/SvImJ",27.2,"control"
"9","A/J",23.7,"control"
"10","A/J",24.7,"control"
"11","A/J",25,"control"
"12","A/J",23.8,"control"
"13","A/J",22,"control"
"14","AKR/J",28.3,"control"
"15","AKR/J",34.1,"control"
"16","AKR/J",31.5,"control"
"17","AKR/J",28.1,"control"
"18","AKR/J",27,"control"
"19","BALB/cJ",25.5,"control"
"20","BALB/cJ",27,"control"
"21","BALB/cJ",27.3,"control"
"22","BALB/cJ",26.4,"control"
"23","BALB/cJ",25.7,"control"
"24","BTBR",33,"control"
"25","BTBR",34.7,"control"
"26","BTBR",33.4,"control"
"27","BTBR",34.5,"control"
"28","BTBR",35.2,"control"
"29","BTBR",35.6,"control"
"30","BTBR",35.6,"control"
"31","BTBR",35,"control"
"32","C3H/HeJ",26.9,"control"
"33","C3H/HeJ",27.6,"control"
"34","C3H/HeJ",21,"control"
"35","C3H/HeJ",28.3,"control"
"36","C3H/HeJ",28,"control"
"37","C57BL/6J",27.6,"control"
"38","C57BL/6J",24.3,"control"
"39","C57BL/6J",26.3,"control"
"40","C57BL/6J",27.1,"control"
"41","C57BL/6J",26.9,"control"
"42","C57BLKS/J",27.2,"control"
"43","C57BLKS/J",27.8,"control"
"44","C57BLKS/J",26.4,"control"
"45","C57BLKS/J",28,"control"
"46","C57BLKS/J",27.9,"control"
"47","CAST/EiJ",14.4,"control"
"48","CAST/EiJ",16.9,"control"
"49","CAST/EiJ",16.8,"control"
"50","CAST/EiJ",18.4,"control"
"51","CAST/EiJ",15.8,"control"
"52","CBA",30.2,"control"
"53","CBA",28,"control"
"54","CBA",26.5,"control"
"55","CBA",27,"control"
"56","CBA",28.8,"control"
"57","DBA/2J",27.6,"control"
"58","DBA/2J",29,"control"
"59","DBA/2J",26.5,"control"
"60","DBA/2J",28.7,"control"
"61","DBA/2J",26.1,"control"
"62","DBA/2J",31.2,"control"
"63","DBA/2J",29.1,"control"
"64","DBA/2J",31.3,"control"
"65","DBA/2J",33.6,"control"
"66","DDY/JclSidSeyFrkJ",36.3,"control"
"67","DDY/JclSidSeyFrkJ",39.7,"control"
"68","DDY/JclSidSeyFrkJ",34.3,"control"
"69","DDY/JclSidSeyFrkJ",39,"control"
"70","DDY/JclSidSeyFrkJ",43.2,"control"
"71","DDY/JclSidSeyFrkJ",32.6,"control"
"72","DDY/JclSidSeyFrkJ",41,"control"
"73","FVB/NJ",24.7,"control"
"74","FVB/NJ",27.2,"control"
"75","FVB/NJ",24.3,"control"
"76","FVB/NJ",28,"control"
"77","FVB/NJ",27.7,"control"
"78","KK/HlJ",30.5,"control"
"79","KK/HlJ",30,"control"
"80","KK/HlJ",31.5,"control"
"81","KK/HlJ",33.7,"control"
"82","KK/HlJ",34.1,"control"
"83","KK/HlJ",36.7,"control"
"84","KK/HlJ",40.3,"control"
"85","MA/MyJ",27,"control"
"86","MA/MyJ",28.4,"control"
"87","MA/MyJ",26.1,"control"
"88","MA/MyJ",23.9,"control"
"89","MA/MyJ",24.8,"control"
"90","MA/MyJ",33.1,"control"
"91","MOLF/EiJ",17,"control"
"92","MOLF/EiJ",14.4,"control"
"93","MOLF/EiJ",15.5,"control"
"94","MOLF/EiJ",14.4,"control"
"95","MOLF/EiJ",18,"control"
"96","MRL/MpJ",40.4,"control"
"97","MRL/MpJ",39.7,"control"
"98","MRL/MpJ",43.8,"control"
"99","MRL/MpJ",37.4,"control"
"100","MRL/MpJ",37.9,"control"
"101","MSM/MsJ",13.1,"control"
"102","MSM/MsJ",13.4,"control"
"103","MSM/MsJ",12.7,"control"
"104","MSM/MsJ",11.5,"control"
"105","MSM/MsJ",14.3,"control"
"106","MSM/MsJ",13.7,"control"
"107","NOD/ShiLtJ",26.2,"control"
"108","NOD/ShiLtJ",27.3,"control"
"109","NOD/ShiLtJ",27,"control"
"110","NOD/ShiLtJ",25.1,"control"
"111","NOD/ShiLtJ",28.1,"control"
"112","NON/ShiLtJ",49.4,"control"
"113","NON/ShiLtJ",49.7,"control"
"114","NON/ShiLtJ",44.5,"control"
"115","NON/ShiLtJ",47.2,"control"
"116","NON/ShiLtJ",45,"control"
"117","NON/ShiLtJ",50,"control"
"118","NON/ShiLtJ",52.3,"control"
"119","NON/ShiLtJ",43.8,"control"
"120","NZL/LtJ",53.5,"control"
"121","NZL/LtJ",50,"control"
"122","NZL/LtJ",53.4,"control"
"123","NZL/LtJ",51.4,"control"
"124","NZL/LtJ",52.7,"control"
"125","NZL/LtJ",52,"control"
"126","NZL/LtJ",54.5,"control"
"127","NZL/LtJ",48,"control"
"128","NZO/HlLtJ",45.7,"control"
"129","NZO/HlLtJ",43,"control"
"130","NZO/HlLtJ",44.5,"control"
"131","NZO/HlLtJ",43,"control"
"132","NZW/LacJ",32.8,"control"
"133","NZW/LacJ",31.8,"control"
"134","NZW/LacJ",36.2,"control"
"135","NZW/LacJ",34.8,"control"
"136","NZW/LacJ",33.4,"control"
"137","PWK/PhJ",18.6,"control"
"138","PWK/PhJ",18.5,"control"
"139","PWK/PhJ",17.1,"control"
"140","PWK/PhJ",21.8,"control"
"141","PWK/PhJ",17,"control"
"142","SJL/J",23.7,"control"
"143","SJL/J",23.9,"control"
"144","SJL/J",24,"control"
"145","SJL/J",23.1,"control"
"146","SJL/J",23.6,"control"
"147","SM/J",28.6,"control"
"148","SM/J",29.2,"control"
"149","SM/J",25.4,"control"
"150","SM/J",31.9,"control"
"151","SM/J",25.2,"control"
"152","SM/J",26.5,"control"
"153","SM/J",25.7,"control"
"154","SM/J",22.2,"control"
"155","WSB/EiJ",17.9,"control"
"156","WSB/EiJ",17.3,"control"
"157","WSB/EiJ",17,"control"
"158","WSB/EiJ",17.6,"control"
"159","WSB/EiJ",17.2,"control"
