"","strain","FEMALES_percentage_center_time","group"
"1","129S1/SvImJ",0,"control"
"2","129S1/SvImJ",0.006,"control"
"3","129S1/SvImJ",0,"control"
"4","129S1/SvImJ",0,"control"
"5","129S1/SvImJ",0.007167,"control"
"6","129S1/SvImJ",0,"control"
"7","129S1/SvImJ",0.000333,"control"
"8","129S1/SvImJ",0.005667,"control"
"9","129S1/SvImJ",0.028,"control"
"10","129S1/SvImJ",0.007833,"control"
"11","A/J",0.02033,"control"
"12","A/J",0,"control"
"13","A/J",0.08867,"control"
"14","A/J",0.003167,"control"
"15","A/J",0,"control"
"16","A/J",0,"control"
"17","A/J",0,"control"
"18","A/J",0,"control"
"19","A/J",0.01267,"control"
"20","A/J",0.003833,"control"
"21","A/J",0.008167,"control"
"22","AKR/J",0.0485,"control"
"23","AKR/J",0.0525,"control"
"24","AKR/J",0.06617,"control"
"25","AKR/J",0.07533,"control"
"26","AKR/J",0.07417,"control"
"27","AKR/J",0.1588,"control"
"28","AKR/J",0.1345,"control"
"29","AKR/J",0.2138,"control"
"30","AKR/J",0.143,"control"
"31","AKR/J",0.1188,"control"
"32","AKR/J",0.1767,"control"
"33","BALB/cByJ",0.09283,"control"
"34","BALB/cByJ",0.079,"control"
"35","BALB/cByJ",0.111,"control"
"36","BALB/cByJ",0.091,"control"
"37","BALB/cByJ",0.0705,"control"
"38","BALB/cByJ",0.038,"control"
"39","BALB/cByJ",0.01867,"control"
"40","BALB/cByJ",0.01283,"control"
"41","BALB/cByJ",0.05217,"control"
"42","BALB/cByJ",0.021,"control"
"43","BALB/cByJ",0.052,"control"
"44","BTBR T<+> Itpr3<tf>/J",0.1395,"control"
"45","BTBR T<+> Itpr3<tf>/J",0.02633,"control"
"46","BTBR T<+> Itpr3<tf>/J",0.08167,"control"
"47","BTBR T<+> Itpr3<tf>/J",0.03067,"control"
"48","BTBR T<+> Itpr3<tf>/J",0.07733,"control"
"49","BTBR T<+> Itpr3<tf>/J",0.04033,"control"
"50","BTBR T<+> Itpr3<tf>/J",0.0195,"control"
"51","BTBR T<+> Itpr3<tf>/J",0.0625,"control"
"52","BTBR T<+> Itpr3<tf>/J",0.05083,"control"
"53","BTBR T<+> Itpr3<tf>/J",0.1598,"control"
"54","BTBR T<+> Itpr3<tf>/J",0.051,"control"
"55","C3H/HeJ",0.1492,"control"
"56","C3H/HeJ",0.1307,"control"
"57","C3H/HeJ",0.062,"control"
"58","C3H/HeJ",0.09567,"control"
"59","C3H/HeJ",0.1888,"control"
"60","C3H/HeJ",0.1118,"control"
"61","C3H/HeJ",0.143,"control"
"62","C3H/HeJ",0.1242,"control"
"63","C3H/HeJ",0.1102,"control"
"64","C3H/HeJ",0.1395,"control"
"65","C3H/HeJ",0.03817,"control"
"66","C57BL/6J",0.1023,"control"
"67","C57BL/6J",0.1268,"control"
"68","C57BL/6J",0.145,"control"
"69","C57BL/6J",0.1108,"control"
"70","C57BL/6J",0.1508,"control"
"71","C57BL/6J",0.1022,"control"
"72","C57BL/6J",0.0875,"control"
"73","C57BL/6J",0.1647,"control"
"74","C57BL/6J",0.1987,"control"
"75","C57BL/6J",0.0895,"control"
"76","C57BL/6J",0.1292,"control"
"77","C57BL/6J",0.1613,"control"
"78","C57BL/6J",0.06517,"control"
"79","C57BL/6J",0.1928,"control"
"80","C57BL/6J",0.1245,"control"
"81","C57BL/6J",0.1517,"control"
"82","C57BL/6J",0.1778,"control"
"83","C57BL/6J",0.2188,"control"
"84","C57BL/6J",0.1583,"control"
"85","C57BL/6J",0.114,"control"
"86","C57BR/cdJ",0.3393,"control"
"87","C57BR/cdJ",0.2173,"control"
"88","C57BR/cdJ",0.2443,"control"
"89","C57BR/cdJ",0.2808,"control"
"90","C57BR/cdJ",0.3018,"control"
"91","C57BR/cdJ",0.2587,"control"
"92","C57L/J",0.276,"control"
"93","C57L/J",0.2782,"control"
"94","C57L/J",0.384,"control"
"95","C57L/J",0.2098,"control"
"96","C57L/J",0.2872,"control"
"97","C57L/J",0.1362,"control"
"98","C57L/J",0.2627,"control"
"99","C57L/J",0.2127,"control"
"100","C57L/J",0.262,"control"
"101","C57L/J",0.3172,"control"
"102","C57L/J",0.1875,"control"
"103","C58/J",0.1923,"control"
"104","C58/J",0.1585,"control"
"105","C58/J",0.2162,"control"
"106","C58/J",0.0995,"control"
"107","C58/J",0.1248,"control"
"108","C58/J",0.2268,"control"
"109","C58/J",0.3982,"control"
"110","C58/J",0.1618,"control"
"111","C58/J",0.1488,"control"
"112","C58/J",0.1677,"control"
"113","CBA/J",0.071,"control"
"114","CBA/J",0.07583,"control"
"115","CBA/J",0.1095,"control"
"116","CBA/J",0.1678,"control"
"117","CBA/J",0.1552,"control"
"118","CBA/J",0,"control"
"119","CBA/J",0.1307,"control"
"120","CBA/J",0.1485,"control"
"121","CBA/J",0.02767,"control"
"122","CBA/J",0.0865,"control"
"123","CBA/J",0.095,"control"
"124","CZECHII/EiJ",0.04133,"control"
"125","CZECHII/EiJ",0.05667,"control"
"126","CZECHII/EiJ",0.047,"control"
"127","CZECHII/EiJ",0.1045,"control"
"128","CZECHII/EiJ",0.081,"control"
"129","DBA/2J",0.02383,"control"
"130","DBA/2J",0,"control"
"131","DBA/2J",0.01617,"control"
"132","DBA/2J",0.009667,"control"
"133","DBA/2J",0.04233,"control"
"134","DBA/2J",0.01133,"control"
"135","DBA/2J",0.037,"control"
"136","DBA/2J",0,"control"
"137","DBA/2J",0,"control"
"138","FVB/NJ",0.2118,"control"
"139","FVB/NJ",0.1362,"control"
"140","FVB/NJ",0.09167,"control"
"141","FVB/NJ",0.1612,"control"
"142","FVB/NJ",0.1322,"control"
"143","FVB/NJ",0.1338,"control"
"144","FVB/NJ",0.1702,"control"
"145","FVB/NJ",0.1035,"control"
"146","FVB/NJ",0.15,"control"
"147","FVB/NJ",0.1512,"control"
"148","I/LnJ",0.1517,"control"
"149","I/LnJ",0.1877,"control"
"150","I/LnJ",0.1227,"control"
"151","I/LnJ",0.1263,"control"
