"","strain","MALES_body_weight","group"
"1","129S1/SvImJ",NA,"control"
"2","129S1/SvImJ",NA,"control"
"3","129S1/SvImJ",NA,"control"
"4","129S1/SvImJ",NA,"control"
"5","129S1/SvImJ",NA,"control"
"6","129S1/SvImJ",NA,"control"
"7","129S1/SvImJ",NA,"control"
"8","129S1/SvImJ",NA,"control"
"9","129S1/SvImJ",NA,"control"
"10","129S1/SvImJ",24.3,"control"
"11","129S1/SvImJ",25.3,"control"
"12","129S1/SvImJ",21.4,"control"
"13","129S1/SvImJ",24.5,"control"
"14","129S1/SvImJ",24,"control"
"15","129S1/SvImJ",21.6,"control"
"16","129S1/SvImJ",22.7,"control"
"17","129S1/SvImJ",NA,"control"
"18","129S1/SvImJ",24.4,"control"
"19","129S1/SvImJ",25.4,"control"
"20","A/J",NA,"control"
"21","A/J",NA,"control"
"22","A/J",NA,"control"
"23","A/J",25.1,"control"
"24","A/J",22.3,"control"
"25","A/J",22.1,"control"
"26","A/J",22.2,"control"
"27","A/J",23.5,"control"
"28","A/J",29.4,"control"
"29","A/J",24.7,"control"
"30","A/J",25.9,"control"
"31","A/J",26.7,"control"
"32","A/J",NA,"control"
"33","A/J",19.8,"control"
"34","A/J",NA,"control"
"35","A/J",NA,"control"
"36","A/J",NA,"control"
"37","A/J",NA,"control"
"38","A/J",NA,"control"
"39","A/J",NA,"control"
"40","AKR/J",35.2,"control"
"41","AKR/J",29.6,"control"
"42","AKR/J",NA,"control"
"43","AKR/J",NA,"control"
"44","AKR/J",NA,"control"
"45","AKR/J",NA,"control"
"46","AKR/J",NA,"control"
"47","AKR/J",NA,"control"
"48","AKR/J",NA,"control"
"49","AKR/J",NA,"control"
"50","AKR/J",NA,"control"
"51","AKR/J",30.8,"control"
"52","AKR/J",29.9,"control"
"53","AKR/J",30.7,"control"
"54","AKR/J",28.8,"control"
"55","AKR/J",34.1,"control"
"56","AKR/J",28.5,"control"
"57","AKR/J",32.5,"control"
"58","AKR/J",28.9,"control"
"59","BALB/cByJ",25.5,"control"
"60","BALB/cByJ",24.8,"control"
"61","BALB/cByJ",26.4,"control"
"62","BALB/cByJ",28.6,"control"
"63","BALB/cByJ",26.3,"control"
"64","BALB/cByJ",28.9,"control"
"65","BALB/cByJ",NA,"control"
"66","BALB/cByJ",NA,"control"
"67","BALB/cByJ",NA,"control"
"68","BALB/cByJ",NA,"control"
"69","BALB/cByJ",NA,"control"
"70","BALB/cByJ",NA,"control"
"71","BALB/cByJ",NA,"control"
"72","BALB/cByJ",NA,"control"
"73","BALB/cByJ",NA,"control"
"74","BALB/cByJ",26.4,"control"
"75","BALB/cByJ",26.4,"control"
"76","BALB/cByJ",28.9,"control"
"77","BALB/cByJ",27.9,"control"
"78","BTBR T<+> Itpr3<tf>/J",29.9,"control"
"79","BTBR T<+> Itpr3<tf>/J",28.9,"control"
"80","BTBR T<+> Itpr3<tf>/J",NA,"control"
"81","BTBR T<+> Itpr3<tf>/J",NA,"control"
"82","BTBR T<+> Itpr3<tf>/J",NA,"control"
"83","BTBR T<+> Itpr3<tf>/J",NA,"control"
"84","BTBR T<+> Itpr3<tf>/J",NA,"control"
"85","BTBR T<+> Itpr3<tf>/J",NA,"control"
"86","BTBR T<+> Itpr3<tf>/J",NA,"control"
"87","BTBR T<+> Itpr3<tf>/J",NA,"control"
"88","BTBR T<+> Itpr3<tf>/J",NA,"control"
"89","BTBR T<+> Itpr3<tf>/J",30.5,"control"
"90","BTBR T<+> Itpr3<tf>/J",29.2,"control"
"91","BTBR T<+> Itpr3<tf>/J",33.3,"control"
"92","BTBR T<+> Itpr3<tf>/J",33.3,"control"
"93","BTBR T<+> Itpr3<tf>/J",28.5,"control"
"94","BTBR T<+> Itpr3<tf>/J",30,"control"
"95","BTBR T<+> Itpr3<tf>/J",NA,"control"
"96","BTBR T<+> Itpr3<tf>/J",29.1,"control"
"97","BTBR T<+> Itpr3<tf>/J",29.4,"control"
"98","BUB/BnJ",NA,"control"
"99","BUB/BnJ",NA,"control"
"100","BUB/BnJ",NA,"control"
"101","BUB/BnJ",NA,"control"
"102","BUB/BnJ",NA,"control"
"103","BUB/BnJ",NA,"control"
"104","BUB/BnJ",NA,"control"
"105","BUB/BnJ",NA,"control"
"106","BUB/BnJ",33.1,"control"
"107","BUB/BnJ",31,"control"
"108","BUB/BnJ",31,"control"
"109","BUB/BnJ",30.5,"control"
"110","BUB/BnJ",29.7,"control"
"111","BUB/BnJ",28.8,"control"
"112","BUB/BnJ",31.2,"control"
"113","BUB/BnJ",30.7,"control"
"114","BUB/BnJ",29.5,"control"
"115","BUB/BnJ",NA,"control"
"116","BUB/BnJ",NA,"control"
"117","C3H/HeJ",NA,"control"
"118","C3H/HeJ",26.8,"control"
"119","C3H/HeJ",24.8,"control"
"120","C3H/HeJ",25.4,"control"
"121","C3H/HeJ",24.6,"control"
"122","C3H/HeJ",24.8,"control"
"123","C3H/HeJ",28.5,"control"
"124","C3H/HeJ",NA,"control"
"125","C3H/HeJ",NA,"control"
"126","C3H/HeJ",NA,"control"
"127","C3H/HeJ",NA,"control"
"128","C3H/HeJ",NA,"control"
"129","C3H/HeJ",NA,"control"
"130","C3H/HeJ",NA,"control"
"131","C3H/HeJ",29.1,"control"
"132","C3H/HeJ",NA,"control"
"133","C3H/HeJ",NA,"control"
"134","C3H/HeJ",27.9,"control"
"135","C3H/HeJ",26,"control"
"136","C3H/HeJ",27.6,"control"
"137","C57BL/10J",NA,"control"
"138","C57BL/10J",NA,"control"
"139","C57BL/10J",NA,"control"
"140","C57BL/10J",NA,"control"
"141","C57BL/10J",NA,"control"
"142","C57BL/10J",NA,"control"
"143","C57BL/10J",NA,"control"
"144","C57BL/10J",NA,"control"
"145","C57BL/10J",NA,"control"
"146","C57BL/10J",25.1,"control"
"147","C57BL/10J",24.3,"control"
"148","C57BL/10J",25.4,"control"
"149","C57BL/10J",22.3,"control"
"150","C57BL/10J",25.9,"control"
"151","C57BL/10J",25.1,"control"
"152","C57BL/10J",25.2,"control"
"153","C57BL/10J",25.9,"control"
"154","C57BL/10J",24.1,"control"
"155","C57BL/10J",27.1,"control"
"156","C57BL/10J",NA,"control"
"157","C57BL/6J",NA,"control"
"158","C57BL/6J",NA,"control"
"159","C57BL/6J",NA,"control"
"160","C57BL/6J",NA,"control"
"161","C57BL/6J",NA,"control"
"162","C57BL/6J",NA,"control"
"163","C57BL/6J",NA,"control"
"164","C57BL/6J",NA,"control"
"165","C57BL/6J",NA,"control"
"166","C57BL/6J",24,"control"
"167","C57BL/6J",24.8,"control"
"168","C57BL/6J",23.9,"control"
"169","C57BL/6J",28.2,"control"
"170","C57BL/6J",26,"control"
"171","C57BL/6J",25.2,"control"
"172","C57BL/6J",23.8,"control"
"173","C57BL/6J",26.9,"control"
"174","C57BL/6J",27.1,"control"
"175","C57BLKS/J",26.5,"control"
"176","C57BLKS/J",NA,"control"
"177","C57BLKS/J",NA,"control"
"178","C57BLKS/J",NA,"control"
"179","C57BLKS/J",NA,"control"
"180","C57BLKS/J",NA,"control"
"181","C57BLKS/J",NA,"control"
"182","C57BLKS/J",NA,"control"
"183","C57BLKS/J",NA,"control"
"184","C57BLKS/J",NA,"control"
"185","C57BLKS/J",NA,"control"
"186","C57BLKS/J",24.4,"control"
"187","C57BLKS/J",24.3,"control"
"188","C57BLKS/J",21.6,"control"
"189","C57BLKS/J",22.9,"control"
"190","C57BLKS/J",25.7,"control"
"191","C57BLKS/J",24.6,"control"
"192","C57BLKS/J",22.4,"control"
"193","C57BR/cdJ",NA,"control"
"194","C57BR/cdJ",NA,"control"
"195","C57BR/cdJ",NA,"control"
"196","C57BR/cdJ",NA,"control"
"197","C57BR/cdJ",27,"control"
"198","C57BR/cdJ",27.1,"control"
"199","C57BR/cdJ",NA,"control"
"200","C57BR/cdJ",NA,"control"
"201","C57BR/cdJ",NA,"control"
"202","C57BR/cdJ",NA,"control"
"203","C57BR/cdJ",25,"control"
"204","C57BR/cdJ",NA,"control"
"205","C57BR/cdJ",NA,"control"
"206","C57BR/cdJ",NA,"control"
"207","C57BR/cdJ",NA,"control"
"208","C57BR/cdJ",25.5,"control"
"209","C57BR/cdJ",25.6,"control"
"210","C57BR/cdJ",25.5,"control"
"211","C57BR/cdJ",NA,"control"
"212","C57BR/cdJ",24.6,"control"
"213","C57BR/cdJ",26.7,"control"
"214","C57BR/cdJ",26.5,"control"
"215","C57BR/cdJ",25.2,"control"
"216","C57BR/cdJ",24.7,"control"
"217","C57BR/cdJ",25.1,"control"
"218","C57BR/cdJ",25.4,"control"
"219","C57BR/cdJ",NA,"control"
"220","C57BR/cdJ",NA,"control"
"221","C57L/J",NA,"control"
"222","C57L/J",24.9,"control"
"223","C57L/J",24.8,"control"
"224","C57L/J",26.7,"control"
"225","C57L/J",25,"control"
"226","C57L/J",28.1,"control"
"227","C57L/J",24.6,"control"
"228","C57L/J",26.3,"control"
"229","C57L/J",25.3,"control"
"230","C57L/J",21.2,"control"
"231","C57L/J",26.9,"control"
"232","C57L/J",NA,"control"
"233","C57L/J",NA,"control"
"234","C57L/J",NA,"control"
"235","C57L/J",NA,"control"
"236","C57L/J",NA,"control"
"237","C57L/J",NA,"control"
"238","C57L/J",NA,"control"
"239","C57L/J",NA,"control"
"240","C57L/J",NA,"control"
"241","C58/J",23.1,"control"
"242","C58/J",22.3,"control"
"243","C58/J",24.9,"control"
"244","C58/J",23.4,"control"
"245","C58/J",NA,"control"
"246","C58/J",NA,"control"
"247","C58/J",NA,"control"
"248","C58/J",23.5,"control"
"249","C58/J",22.6,"control"
"250","C58/J",NA,"control"
"251","C58/J",NA,"control"
"252","C58/J",NA,"control"
"253","C58/J",21.5,"control"
"254","C58/J",23.7,"control"
"255","C58/J",29.8,"control"
"256","C58/J",NA,"control"
"257","C58/J",NA,"control"
"258","C58/J",NA,"control"
"259","CAST/EiJ",13.8,"control"
"260","CAST/EiJ",13.8,"control"
"261","CAST/EiJ",12.3,"control"
"262","CAST/EiJ",NA,"control"
"263","CAST/EiJ",NA,"control"
"264","CAST/EiJ",NA,"control"
"265","CAST/EiJ",NA,"control"
"266","CAST/EiJ",NA,"control"
"267","CAST/EiJ",NA,"control"
"268","CAST/EiJ",NA,"control"
"269","CAST/EiJ",NA,"control"
"270","CAST/EiJ",NA,"control"
"271","CAST/EiJ",NA,"control"
"272","CAST/EiJ",NA,"control"
"273","CAST/EiJ",14.1,"control"
"274","CAST/EiJ",15.5,"control"
"275","CAST/EiJ",15.5,"control"
"276","CAST/EiJ",14.2,"control"
"277","CAST/EiJ",12.9,"control"
"278","CAST/EiJ",12.7,"control"
"279","CAST/EiJ",13,"control"
"280","CBA/J",NA,"control"
"281","CBA/J",NA,"control"
"282","CBA/J",NA,"control"
"283","CBA/J",NA,"control"
"284","CBA/J",NA,"control"
"285","CBA/J",NA,"control"
"286","CBA/J",28.7,"control"
"287","CBA/J",28.6,"control"
"288","CBA/J",30,"control"
"289","CBA/J",25.9,"control"
"290","CBA/J",28.2,"control"
"291","CBA/J",25.4,"control"
"292","CBA/J",29.5,"control"
"293","CBA/J",29.4,"control"
"294","CBA/J",30.2,"control"
"295","CBA/J",23.6,"control"
"296","CBA/J",NA,"control"
"297","CBA/J",NA,"control"
"298","CBA/J",NA,"control"
"299","CBA/J",NA,"control"
"300","CE/J",NA,"control"
"301","CE/J",33.6,"control"
"302","CE/J",27.4,"control"
"303","CE/J",25.3,"control"
"304","CE/J",29.4,"control"
"305","CE/J",26.6,"control"
"306","CE/J",30,"control"
"307","CE/J",25.3,"control"
"308","CE/J",25.5,"control"
"309","CE/J",NA,"control"
"310","CE/J",NA,"control"
"311","CE/J",NA,"control"
"312","CE/J",NA,"control"
"313","CE/J",NA,"control"
"314","CE/J",NA,"control"
"315","CE/J",NA,"control"
"316","CE/J",NA,"control"
"317","CZECHII/EiJ",12,"control"
"318","CZECHII/EiJ",13.6,"control"
"319","CZECHII/EiJ",NA,"control"
"320","CZECHII/EiJ",NA,"control"
"321","CZECHII/EiJ",NA,"control"
"322","CZECHII/EiJ",NA,"control"
"323","CZECHII/EiJ",NA,"control"
"324","CZECHII/EiJ",NA,"control"
"325","CZECHII/EiJ",NA,"control"
"326","CZECHII/EiJ",NA,"control"
"327","CZECHII/EiJ",NA,"control"
"328","CZECHII/EiJ",13.1,"control"
"329","CZECHII/EiJ",12.8,"control"
"330","CZECHII/EiJ",12.7,"control"
"331","CZECHII/EiJ",12.5,"control"
"332","CZECHII/EiJ",15.8,"control"
"333","CZECHII/EiJ",15.1,"control"
"334","CZECHII/EiJ",14.1,"control"
"335","CZECHII/EiJ",12.3,"control"
"336","DBA/2J",NA,"control"
"337","DBA/2J",NA,"control"
"338","DBA/2J",NA,"control"
"339","DBA/2J",25.2,"control"
"340","DBA/2J",NA,"control"
"341","DBA/2J",NA,"control"
"342","DBA/2J",NA,"control"
"343","DBA/2J",NA,"control"
