"Comparison","Difference","p-value","CI-Low","CI-High","p-value","CI-Low","CI-High"
"129S1/SvImJfluoxetine - 129S1/SvImJcontrol","-90.0716666666667","0.755738894952109","-580.9685265973","400.825193263967","0.879627869929198","-1041.18516409424","861.041830760911"
"A/Jcontrol - 129S1/SvImJcontrol","-192.605","0.469646754512799","-683.501859930633","298.291859930633","0.714730819745098","-1143.71849742758","758.508497427578"
"A/Jfluoxetine - 129S1/SvImJcontrol","-156.68","0.541274451979585","-619.501998026845","306.141998026845","0.767961813189311","-1094.7077018025","781.347701802505"
"AKR/Jcontrol - 129S1/SvImJcontrol","1454.93111111111","3.50511593083525e-8","920.510300815752","1989.35192140647","0.00530416452467055","481.466340244939","2428.39588197728"
"AKR/Jfluoxetine - 129S1/SvImJcontrol","1373.93111111111","1.91602933981757e-7","839.510300815752","1908.35192140647","0.00767511186025042","400.466340244939","2347.39588197728"
"BALB/cJcontrol - 129S1/SvImJcontrol","518.553333333333","0.0575247494116701","-15.8674769620253","1052.97414362869","0.29676859902751","-454.911437532839","1492.01810419951"
"BALB/cJfluoxetine - 129S1/SvImJcontrol","568.401818181818","0.025615744675313","65.2612609047117","1071.54237545892","0.23941293897255","-388.751490210645","1525.55512657428"
"BTBR T+ tf/Jcontrol - 129S1/SvImJcontrol","1459.48666666667","3.20078938734007e-8","925.065856371308","1993.90747696203","0.00520763394101784","486.021895800494","2432.95143753284"
"BTBR T+ tf/Jfluoxetine - 129S1/SvImJcontrol","1680.90333333333","4.32320845789036e-12","1190.0064734027","2171.80019326397","0.00175398263936094","729.789835905755","2632.01683076091"
"BUB/BnJcontrol - 129S1/SvImJcontrol","1156.82","0.0000253109423673485","601.91591804507","1711.72408195493","0.0225673613093099","172.015207056974","2141.62479294303"
"BUB/BnJfluoxetine - 129S1/SvImJcontrol","1942.59777777778","2.16838041775065e-13","1408.17696748242","2477.01858807314","0.000533388201455998","969.133006911605","2916.06254864395"
"C3H/HeJcontrol - 129S1/SvImJcontrol","654.02","0.00466833420764313","191.198001973155","1116.84199802684","0.160683198617353","-284.007701802505","1592.0477018025"
"C3H/HeJfluoxetine - 129S1/SvImJcontrol","629.553333333333","0.00655408871477526","166.731335306488","1092.37533136018","0.178240027983695","-308.474368469172","1567.58103513584"
"C57BL/6Jcontrol - 129S1/SvImJcontrol","678.236666666667","0.00569952167051068","187.339806736033","1169.1335265973","0.152162284889043","-272.876830760911","1629.35016409424"
"C57BL/6Jfluoxetine - 129S1/SvImJcontrol","724.597777777778","0.00671844397463625","190.176967482419","1259.01858807314","0.136591256698033","-248.866993088395","1698.06254864395"
"C57BLKS/Jcontrol - 129S1/SvImJcontrol","324.92","0.231272959261946","-192.530724535149","842.370724535149","0.524400353699511","-639.540939088283","1289.38093908828"
"C57BLKS/Jfluoxetine - 129S1/SvImJcontrol","554.57","0.025615744675313","63.6731400693665","1045.46685993063","0.248105100802896","-396.543497427578","1505.68349742758"
"C57BR/cdJcontrol - 129S1/SvImJcontrol","1684.08666666667","2.10219438755768e-13","1221.26466863982","2146.90866469351","0.00170763348526579","746.058964864162","2622.11436846917"
"C57BR/cdJfluoxetine - 129S1/SvImJcontrol","2262.32","0","1771.42314006937","2753.21685993063","0.000167979121727058","1311.20650257242","3213.43349742758"
"C58/Jcontrol - 129S1/SvImJcontrol","1547.93111111111","4.41269658353791e-9","1013.51030081575","2082.35192140647","0.00333634056984821","574.466340244939","2521.39588197728"
"C58/Jfluoxetine - 129S1/SvImJcontrol","2522.70888888889","0","1988.28807859353","3057.12969918425","0.0000571193189952928","1549.24411802272","3496.17365975506"
"CBA/Jcontrol - 129S1/SvImJcontrol","600.953333333333","0.00963828107897331","138.131335306488","1063.77533136018","0.199695812716052","-337.074368469172","1538.98103513584"
"CBA/Jfluoxetine - 129S1/SvImJcontrol","1056.35846153846","0.00000849513035038861","576.065375856087","1536.65154722084","0.0300628009837741","110.313946598632","2002.40297647829"
"CE/Jcontrol - 129S1/SvImJcontrol","1096.04222222222","0.0000347539378047896","561.621411926864","1630.46303251758","0.0287035631285179","122.57745135605","2069.50699308839"
"CE/Jfluoxetine - 129S1/SvImJcontrol","1068.15333333333","0.00001060363881655","577.2564734027","1559.05019326397","0.0291995525048381","117.039835905755","2019.26683076091"
