"Comparison","Difference","p-value","CI-Low","CI-High","p-value","CI-Low","CI-High"
"129S1/SvImJfluoxetine - 129S1/SvImJcontrol","-0.808429365204047","0.130832316655244","-1.83316305446209","0.216304324053993","0.191279797063088","-1.97100031810654","0.354141587698448"
"A/Jcontrol - 129S1/SvImJcontrol","-1.01270462634304","0.0530362272272278","-2.03743831560108","0.0120290629149984","0.0939813218739415","-2.17527557924554","0.149866326559453"
"A/Jfluoxetine - 129S1/SvImJcontrol","-0.781521908595441","0.120520400488574","-1.74765009604167","0.184606278850784","0.185056577411451","-1.89170401181784","0.328660194626954"
"AKR/Jcontrol - 129S1/SvImJcontrol","3.38768830901053","6.40687503050685e-11","2.27209957082301","4.50327704719806","6.44880033766345e-9","2.14249875458505","4.63287786343602"
"AKR/Jfluoxetine - 129S1/SvImJcontrol","3.25729031553281","3.47175057661677e-10","2.14170157734529","4.37287905372034","2.38982657067932e-8","2.01210076110733","4.5024798699583"
"BALB/cJcontrol - 129S1/SvImJcontrol","1.25886340417204","0.0246044039961909","0.143274665984511","2.37445214235956","0.0470390644393762","0.0136738497465514","2.50405295859752"
"BALB/cJfluoxetine - 129S1/SvImJcontrol","1.36269910764029","0.00843512853116042","0.312407037027385","2.41299117825319","0.0211838588453815","0.17704664571059","2.54835156956998"
"BTBR T+ tf/Jcontrol - 129S1/SvImJcontrol","3.04325135857808","4.95062090205795e-9","1.92766262039055","4.1588400967656","1.93095630405894e-7","1.79806180415259","4.28844091300356"
"BTBR T+ tf/Jfluoxetine - 129S1/SvImJcontrol","2.77145441127454","6.69396488395465e-9","1.7467207220165","3.79618810053258","4.41654921472666e-7","1.60888345837205","3.93402536417704"
"BUB/BnJcontrol - 129S1/SvImJcontrol","3.95786305567031","1.78891384464429e-13","2.79951605144141","5.11621005989921","4.40237774292694e-11","2.67329062363101","5.24243548770961"
"BUB/BnJfluoxetine - 129S1/SvImJcontrol","4.33549327728143","0","3.2199045390939","5.45108201546895","1.69712728718836e-13","3.09030372285594","5.58068283170691"
"C3H/HeJcontrol - 129S1/SvImJcontrol","3.29553668038173","1.93817564737301e-13","2.32940849293551","4.26166486782796","3.9359948851379e-10","2.18535457715934","4.40571878360413"
"C3H/HeJfluoxetine - 129S1/SvImJcontrol","3.30000669773466","1.78891384464429e-13","2.33387851028843","4.26613488518088","3.74986620702157e-10","2.18982459451226","4.41018880095705"
"C57BL/6Jcontrol - 129S1/SvImJcontrol","3.45849027496878","3.41305930886081e-13","2.43375658571074","4.48322396422682","2.90533324467841e-10","2.29591932206629","4.62106122787127"
"C57BL/6Jfluoxetine - 129S1/SvImJcontrol","3.31953547087782","1.55349284161248e-10","2.20394673269029","4.43512420906534","1.28995893966533e-8","2.07434591645233","4.5647250253033"
"C57BLKS/Jcontrol - 129S1/SvImJcontrol","2.57515369538557","3.73121692804765e-7","1.49498954433136","3.65531784643978","0.00000705902986276495","1.36236074904876","3.78794664172238"
"C57BLKS/Jfluoxetine - 129S1/SvImJcontrol","2.45661637014368","3.25985065975041e-7","1.43188268088564","3.48135005940172","0.00000823575813243624","1.29404541724118","3.61918732304617"
"C57BR/cdJcontrol - 129S1/SvImJcontrol","4.69330403296584","0","3.72717584551962","5.65943222041207","0","3.58312192974345","5.80348613618824"
"C57BR/cdJfluoxetine - 129S1/SvImJcontrol","4.38818133846043","0","3.36344764920239","5.41291502771847","0","3.22561038555794","5.55075229136293"
"C58/Jcontrol - 129S1/SvImJcontrol","4.07821695387196","3.24809050179591e-15","2.96262821568443","5.19380569205949","3.14742676366109e-12","2.83302739944647","5.32340650829745"
"C58/Jfluoxetine - 129S1/SvImJcontrol","3.83819705782032","1.21780519940573e-13","2.7226083196328","4.95378579600785","4.84985385185155e-11","2.59300750339484","5.08338661224581"
"CBA/Jcontrol - 129S1/SvImJcontrol","3.26196374573397","3.33155137031888e-13","2.29583555828775","4.2280919331802","5.90235349773028e-10","2.15178164251158","4.37214584895637"
"CBA/Jfluoxetine - 129S1/SvImJcontrol","3.49894921678795","1.81393361869526e-14","2.51572008779574","4.48217834578015","5.57529436329613e-11","2.37356210639209","4.62433632718381"
"CE/Jcontrol - 129S1/SvImJcontrol","3.52480145758142","1.01569355335978e-11","2.40921271939389","4.64039019576895","1.52694170065228e-9","2.27961190315593","4.76999101200691"
"CE/Jfluoxetine - 129S1/SvImJcontrol","3.70649902955012","6.33901533415009e-15","2.68176534029208","4.73123271880816","1.55837968791998e-11","2.54392807664763","4.86906998245262"
"DBA/2Jcontrol - 129S1/SvImJcontrol","2.2702717327924","1.62857938956402e-7","1.34527441656389","3.19526904902091","0.00000901163504509997","1.19635819403281","3.34418527155199"
"DBA/2Jfluoxetine - 129S1/SvImJcontrol","1.49714311020152","0.000857008616461361","0.559861094971563","2.43442512543148","0.00450357032798165","0.412443717461436","2.58184250294161"
"FVB/NJcontrol - 129S1/SvImJcontrol","4.24841310032224","0","3.13282436213471","5.36400183850977","4.70002044156778e-13","3.00322354589675","5.49360265474773"
"FVB/NJfluoxetine - 129S1/SvImJcontrol","4.0075229910204","1.22818422099158e-14","2.89193425283287","5.12311172920793","7.10553309312716e-12","2.76233343659491","5.25271254544589"
"I/LnJcontrol - 129S1/SvImJcontrol","3.22123439529269","4.12011080358905e-11","2.17094232467979","4.27152646590559","7.72010044463351e-9","2.035581933363","4.40688685722239"
"I/LnJfluoxetine - 129S1/SvImJcontrol","2.41623196682471","0.00000985108328868542","1.25788496259581","3.5745789710536","0.0000723488626498433","1.13165953478541","3.70080439886401"
"LG/Jcontrol - 129S1/SvImJcontrol","3.4963698319597","7.17131981503655e-13","2.4460777613468","4.5466619025726","3.74986620702157e-10","2.31071737003","4.68202229388939"
"LG/Jfluoxetine - 129S1/SvImJcontrol","1.97551311982686","0.000199188414530543","0.859924381639331","3.09110185801438","0.00091620903386659","0.730323565401371","3.22070267425234"
"LP/Jcontrol - 129S1/SvImJcontrol","2.49897793082942","0.00000189360088269574","1.3833891926419","3.61456666901695","0.0000220035487006001","1.25378837640394","3.74416748525491"
"LP/Jfluoxetine - 129S1/SvImJcontrol","1.42514952420063","0.00117631608846514","0.511283748388074","2.33901530001318","0.00603591055186059","0.360973426226051","2.48932562217521"
"MA/MyJcontrol - 129S1/SvImJcontrol","4.17902503145884","0","3.06343629327132","5.29461376964637","1.02333236224506e-12","2.93383547703336","5.42421458588433"
"MA/MyJfluoxetine - 129S1/SvImJcontrol","3.30628133335508","1.84616934352623e-10","2.19069259516755","4.42187007154261","1.47754041414395e-8","2.06109177892959","4.55147088778057"
"MRL/MpJcontrol - 129S1/SvImJcontrol","3.92191916531937","0","2.87162709470647","4.97221123593227","2.61124455391837e-12","2.73626670338967","5.10757162724906"
"MRL/MpJfluoxetine - 129S1/SvImJcontrol","3.28337972123828","1.1333727985969e-9","2.12503271700939","4.44172672546718","4.76426425115263e-8","1.99880728919898","4.56795215327759"
"NOD/ShiLtJcontrol - 129S1/SvImJcontrol","4.46571211603935","0","3.41542004542645","5.51600418665225","0","3.28005965410966","5.65136457796905"
"NOD/ShiLtJfluoxetine - 129S1/SvImJcontrol","4.32101583939489","0","3.27072376878199","5.37130791000779","2.18343861509614e-14","3.13536337746519","5.50666830132458"
"NOR/LtJcontrol - 129S1/SvImJcontrol","4.31795088708848","0","3.15960388285959","5.47629789131738","8.24569171112778e-13","3.03337845504918","5.60252331912779"
"NOR/LtJfluoxetine - 129S1/SvImJcontrol","4.40387677774159","0","3.42064764874938","5.3871059067338","0","3.27848966734573","5.52926388813745"
"NZB/BlNJcontrol - 129S1/SvImJcontrol","2.37245831485531","0.00000154599303132526","1.32216624424241","3.42275038546821","0.0000241529931077919","1.18680585292562","3.55811077678501"
