measnum,projsym,varname,label,strain,sex,value,animal_id,stocknum,strainid
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,23.1,6,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,29.0,7,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,26.5,8,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,27.6,1,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,26.8,2,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,27.1,3,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,22.5,4,002448,3
39401,Crowley1,bw_d0,starting,129S1/SvImJ,m,27.2,5,002448,3
39401,Crowley1,bw_d0,starting,A/J,m,23.7,11,000646,4
39401,Crowley1,bw_d0,starting,A/J,m,24.7,10,000646,4
39401,Crowley1,bw_d0,starting,A/J,m,25.0,9,000646,4
39401,Crowley1,bw_d0,starting,A/J,m,23.8,13,000646,4
39401,Crowley1,bw_d0,starting,A/J,m,22.0,12,000646,4
39401,Crowley1,bw_d0,starting,AKR/J,m,28.3,18,000648,15
39401,Crowley1,bw_d0,starting,AKR/J,m,34.1,17,000648,15
39401,Crowley1,bw_d0,starting,AKR/J,m,31.5,16,000648,15
39401,Crowley1,bw_d0,starting,AKR/J,m,28.1,15,000648,15
39401,Crowley1,bw_d0,starting,AKR/J,m,27.0,14,000648,15
39401,Crowley1,bw_d0,starting,BALB/cByJ,m,25.5,20,001026,50
39401,Crowley1,bw_d0,starting,BALB/cByJ,m,27.0,21,001026,50
39401,Crowley1,bw_d0,starting,BALB/cByJ,m,27.3,22,001026,50
39401,Crowley1,bw_d0,starting,BALB/cByJ,m,26.4,23,001026,50
39401,Crowley1,bw_d0,starting,BALB/cByJ,m,25.7,19,001026,50
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,33.0,30,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,34.7,29,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,33.4,24,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,34.5,25,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,35.2,28,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,35.6,26,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,35.6,27,002282,1
39401,Crowley1,bw_d0,starting,BTBR T<+> Itpr3<tf>/J,m,35.0,31,002282,1
39401,Crowley1,bw_d0,starting,C3H/HeJ,m,26.9,32,000659,6
39401,Crowley1,bw_d0,starting,C3H/HeJ,m,27.6,33,000659,6
39401,Crowley1,bw_d0,starting,C3H/HeJ,m,21.0,34,000659,6
39401,Crowley1,bw_d0,starting,C3H/HeJ,m,28.3,35,000659,6
39401,Crowley1,bw_d0,starting,C3H/HeJ,m,28.0,36,000659,6
39401,Crowley1,bw_d0,starting,C57BL/6J,m,27.6,38,000664,7
39401,Crowley1,bw_d0,starting,C57BL/6J,m,24.3,37,000664,7
39401,Crowley1,bw_d0,starting,C57BL/6J,m,26.3,39,000664,7
39401,Crowley1,bw_d0,starting,C57BL/6J,m,27.1,40,000664,7
39401,Crowley1,bw_d0,starting,C57BL/6J,m,26.9,41,000664,7
39401,Crowley1,bw_d0,starting,C57BLKS/J,m,27.2,46,000662,35
39401,Crowley1,bw_d0,starting,C57BLKS/J,m,27.8,43,000662,35
39401,Crowley1,bw_d0,starting,C57BLKS/J,m,26.4,44,000662,35
39401,Crowley1,bw_d0,starting,C57BLKS/J,m,28.0,45,000662,35
39401,Crowley1,bw_d0,starting,C57BLKS/J,m,27.9,42,000662,35
39401,Crowley1,bw_d0,starting,CAST/EiJ,m,14.4,51,000928,2
39401,Crowley1,bw_d0,starting,CAST/EiJ,m,16.9,47,000928,2
39401,Crowley1,bw_d0,starting,CAST/EiJ,m,16.8,48,000928,2
39401,Crowley1,bw_d0,starting,CAST/EiJ,m,18.4,49,000928,2
39401,Crowley1,bw_d0,starting,CAST/EiJ,m,15.8,50,000928,2
39401,Crowley1,bw_d0,starting,CBA/J,m,30.2,56,000656,16
39401,Crowley1,bw_d0,starting,CBA/J,m,28.0,52,000656,16
39401,Crowley1,bw_d0,starting,CBA/J,m,26.5,53,000656,16
39401,Crowley1,bw_d0,starting,CBA/J,m,27.0,54,000656,16
39401,Crowley1,bw_d0,starting,CBA/J,m,28.8,55,000656,16
39401,Crowley1,bw_d0,starting,DBA/2J,m,27.6,61,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,29.0,65,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,26.5,64,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,28.7,63,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,26.1,62,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,31.2,57,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,29.1,58,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,31.3,59,000671,8
39401,Crowley1,bw_d0,starting,DBA/2J,m,33.6,60,000671,8
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,36.3,66,002243,154
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,39.7,67,002243,154
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,34.3,68,002243,154
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,39.0,69,002243,154
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,43.2,70,002243,154
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,32.6,71,002243,154
39401,Crowley1,bw_d0,starting,DDY/JclSidSeyFrkJ,m,41.0,72,002243,154
39401,Crowley1,bw_d0,starting,FVB/NJ,m,24.7,74,001800,9
39401,Crowley1,bw_d0,starting,FVB/NJ,m,27.2,73,001800,9
39401,Crowley1,bw_d0,starting,FVB/NJ,m,24.3,77,001800,9
39401,Crowley1,bw_d0,starting,FVB/NJ,m,28.0,76,001800,9
39401,Crowley1,bw_d0,starting,FVB/NJ,m,27.7,75,001800,9
39401,Crowley1,bw_d0,starting,KK/HlJ,m,30.5,84,002106,18
39401,Crowley1,bw_d0,starting,KK/HlJ,m,30.0,79,002106,18
39401,Crowley1,bw_d0,starting,KK/HlJ,m,31.5,78,002106,18
39401,Crowley1,bw_d0,starting,KK/HlJ,m,33.7,80,002106,18
39401,Crowley1,bw_d0,starting,KK/HlJ,m,34.1,81,002106,18
39401,Crowley1,bw_d0,starting,KK/HlJ,m,36.7,82,002106,18
39401,Crowley1,bw_d0,starting,KK/HlJ,m,40.3,83,002106,18
39401,Crowley1,bw_d0,starting,MA/MyJ,m,27.0,86,000677,20
39401,Crowley1,bw_d0,starting,MA/MyJ,m,28.4,87,000677,20
39401,Crowley1,bw_d0,starting,MA/MyJ,m,26.1,88,000677,20
39401,Crowley1,bw_d0,starting,MA/MyJ,m,23.9,89,000677,20
39401,Crowley1,bw_d0,starting,MA/MyJ,m,24.8,90,000677,20
39401,Crowley1,bw_d0,starting,MA/MyJ,m,33.1,85,000677,20
39401,Crowley1,bw_d0,starting,MOLF/EiJ,m,17.0,95,000550,40
39401,Crowley1,bw_d0,starting,MOLF/EiJ,m,14.4,91,000550,40
