"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"BALB/cJ","BALB/cJ","control","fluoxetine",49.8484848484849,0.88400246383074,0.92188788681608
"BALB/cJ","BTBR T+ tf/J","control","control",940.933333333333,0.011627962351073,0.0672489670294197
"BTBR T+ tf/J","BTBR T+ tf/J","control","fluoxetine",221.416666666667,0.499462071292593,0.652844401623195
"BALB/cJ","BTBR T+ tf/J","fluoxetine","fluoxetine",1112.50151515152,0.00226547614263012,0.0412780170078601
"BALB/cJ","C3H/HeJ","control","control",135.466666666667,0.543403545299558,0.694139382328805
"BTBR T+ tf/J","C3H/HeJ","control","control",805.466666666667,7.98600287324843e-05,0.00711801586407201
"C3H/HeJ","C3H/HeJ","control","fluoxetine",24.4666666666667,0.744159827978356,0.847518632001327
"BTBR T+ tf/J","C3H/HeJ","fluoxetine","fluoxetine",1051.35,5.4426888438582e-05,0.0100278589387752
"BALB/cJ","C3H/HeJ","fluoxetine","fluoxetine",61.1515151515151,0.746056631472861,0.840213691168572
"BTBR T+ tf/J","C57BL/6J","control","control",781.25,0.000502135979580667,0.0139148328545526
"C3H/HeJ","C57BL/6J","control","control",24.2166666666667,0.801046721303727,0.877298493755092
"BALB/cJ","C57BL/6J","control","control",159.683333333333,0.524336331295273,0.671608547756657
"BALB/cJ","C57BL/6J","fluoxetine","fluoxetine",156.19595959596,0.545539097438319,0.683901535059295
"C3H/HeJ","C57BL/6J","fluoxetine","fluoxetine",95.0444444444445,0.342745196047044,0.538377651349276
"C57BL/6J","C57BL/6J","control","fluoxetine",46.3611111111111,0.715858530411868,0.808781280552004
"BTBR T+ tf/J","C57BL/6J","fluoxetine","fluoxetine",956.305555555556,0.00382264940960252,0.0445568160777508
"C3H/HeJ","DBA/2J","control","control",18.7277777777779,0.863307118240978,0.921594438887055
"BALB/cJ","DBA/2J","control","control",116.738888888889,0.603000789825865,0.741822627168242
"BTBR T+ tf/J","DBA/2J","control","control",824.194444444445,0.000109665423412855,0.0111556994493967
"C57BL/6J","DBA/2J","control","control",42.9444444444446,0.723591572891209,0.832736124162105
"BALB/cJ","DBA/2J","fluoxetine","fluoxetine",805.712299465241,0.03457749811981,0.191088795879151
"C57BL/6J","DBA/2J","fluoxetine","fluoxetine",649.516339869281,0.0856779535855949,0.269324221710363
"BTBR T+ tf/J","DBA/2J","fluoxetine","fluoxetine",306.789215686275,0.406824036838789,0.617150172951291
"C3H/HeJ","DBA/2J","fluoxetine","fluoxetine",744.560784313725,0.0111744948992328,0.139511850145348
"DBA/2J","DBA/2J","control","fluoxetine",738.821895424837,0.00822912641326112,0.137432347857943
"BTBR T+ tf/J","SWR/J","control","control",516.083333333333,0.01430701140208,0.0927379408321387
"DBA/2J","SWR/J","control","control",308.111111111111,0.019008860469332,0.157194375957668
"BALB/cJ","SWR/J","control","control",424.85,0.105291272953866,0.274854886835784
"C3H/HeJ","SWR/J","control","control",289.383333333333,0.00802625137876154,0.0978770263037809
"C57BL/6J","SWR/J","control","control",265.166666666667,0.0266071673168726,0.151964469834264
"BTBR T+ tf/J","SWR/J","fluoxetine","fluoxetine",631.833333333333,0.0178338795747497,0.124856889996383
"BALB/cJ","SWR/J","fluoxetine","fluoxetine",480.668181818182,0.0356639098784114,0.168638989275441
"C3H/HeJ","SWR/J","fluoxetine","fluoxetine",419.516666666667,1.16357062242138e-05,0.00488922056980138
"C57BL/6J","SWR/J","fluoxetine","fluoxetine",324.472222222222,0.0140551989739237,0.0918374483163755
"DBA/2J","SWR/J","fluoxetine","fluoxetine",325.044117647059,0.304860336349636,0.536012997840643
"SWR/J","SWR/J","control","fluoxetine",105.666666666667,0.334160880345299,0.538950892627349
