"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"BALB/cJ","BALB/cJ","control","fluoxetine",14.0644078947368,0.000446060606000577,NA
"BALB/cJ","BTBR T+ tf/J","control","control",25.42375,1.28809454786945e-05,NA
"BTBR T+ tf/J","BTBR T+ tf/J","control","fluoxetine",2.31861111111111,0.390464123751132,NA
"BALB/cJ","BTBR T+ tf/J","fluoxetine","fluoxetine",13.6779532163743,0.000325071522476535,NA
"BALB/cJ","C3H/HeJ","control","control",2.74410714285714,0.487338952828663,NA
"BTBR T+ tf/J","C3H/HeJ","control","control",22.6796428571429,6.15917198083539e-06,NA
"C3H/HeJ","C3H/HeJ","control","fluoxetine",4.14642857142857,0.332857732041534,NA
"BTBR T+ tf/J","C3H/HeJ","fluoxetine","fluoxetine",29.1446825396825,1.49131583218205e-06,NA
"BALB/cJ","C3H/HeJ","fluoxetine","fluoxetine",15.4667293233083,0.00038011296042266,NA
"BTBR T+ tf/J","C57BL/6J","control","control",44.4425,1.95999246657968e-06,NA
"C3H/HeJ","C57BL/6J","control","control",21.7628571428571,0.000338005493978695,NA
"BALB/cJ","C57BL/6J","control","control",19.01875,0.00276852243263444,NA
"BALB/cJ","C57BL/6J","fluoxetine","fluoxetine",13.0387134502924,0.00242821976896334,NA
"C3H/HeJ","C57BL/6J","fluoxetine","fluoxetine",2.42801587301587,0.633136066379841,NA
"C57BL/6J","C57BL/6J","control","fluoxetine",20.0444444444444,0.00409926005660925,NA
"BTBR T+ tf/J","C57BL/6J","fluoxetine","fluoxetine",26.7166666666667,8.75154131197579e-07,NA
"C3H/HeJ","DBA/2J","control","control",14.7189075630252,0.000530971430300379,NA
"BALB/cJ","DBA/2J","control","control",17.4630147058824,0.000151969644236675,NA
"BTBR T+ tf/J","DBA/2J","control","control",7.96073529411765,0.0839892556585989,NA
"C57BL/6J","DBA/2J","control","control",36.4817647058824,9.52010115546199e-07,NA
"BALB/cJ","DBA/2J","fluoxetine","fluoxetine",10.4228421052632,0.00288469125116024,NA
"C57BL/6J","DBA/2J","fluoxetine","fluoxetine",23.4615555555556,2.34311905966657e-06,NA
"BTBR T+ tf/J","DBA/2J","fluoxetine","fluoxetine",3.25511111111111,0.0864841583595024,NA
"C3H/HeJ","DBA/2J","fluoxetine","fluoxetine",25.8895714285714,3.57369711629466e-06,NA
"DBA/2J","DBA/2J","control","fluoxetine",7.02423529411765,0.0750921651448812,NA
"BTBR T+ tf/J","SWR/J","control","control",9.6125,0.025000441189576,NA
"DBA/2J","SWR/J","control","control",1.65176470588235,0.685614995667952,NA
"BALB/cJ","SWR/J","control","control",15.81125,0.000794872303359104,NA
"C3H/HeJ","SWR/J","control","control",13.0671428571429,0.00156870228780641,NA
"C57BL/6J","SWR/J","control","control",34.83,4.96735260132539e-06,NA
"BTBR T+ tf/J","SWR/J","fluoxetine","fluoxetine",17.3077777777778,0.000486506055584815,NA
"BALB/cJ","SWR/J","fluoxetine","fluoxetine",3.62982456140351,0.355857370763132,NA
"C3H/HeJ","SWR/J","fluoxetine","fluoxetine",11.8369047619048,0.0231038869003735,NA
"C57BL/6J","SWR/J","fluoxetine","fluoxetine",9.40888888888889,0.0685521847433804,NA
"DBA/2J","SWR/J","fluoxetine","fluoxetine",14.0526666666667,0.00203981667242094,NA
"SWR/J","SWR/J","control","fluoxetine",5.37666666666667,0.234956571948147,NA
