"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",0.609427075706412,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.912605885773537,FALSE,TRUE
"C57BL/6J","DBA/2J",0.569347084855655,FALSE,TRUE
"C3H/HeJ","SWR/J",0.537064019398526,FALSE,TRUE
"C57BL/6J","SWR/J",0.117480858504035,FALSE,TRUE
"DBA/2J","SWR/J",0.276412148128729,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.731312490847694,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.912605885773537,TRUE,TRUE
"C57BL/6J","DBA/2J",0.731312490847694,TRUE,TRUE
"C3H/HeJ","SWR/J",0.731312490847694,TRUE,TRUE
"C57BL/6J","SWR/J",0.704885151024207,TRUE,TRUE
"DBA/2J","SWR/J",0.731312490847694,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.25411522482084,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.803464254475059,FALSE,FALSE
"C57BL/6J","DBA/2J",0.131975677722253,FALSE,FALSE
"C3H/HeJ","SWR/J",0.229973491870857,FALSE,FALSE
"C57BL/6J","SWR/J",0.00168889333965225,FALSE,FALSE
"DBA/2J","SWR/J",0.02093551304359,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.304938269785008,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.803464254475059,TRUE,FALSE
"C57BL/6J","DBA/2J",0.263951355444507,TRUE,FALSE
"C3H/HeJ","SWR/J",0.304938269785008,TRUE,FALSE
"C57BL/6J","SWR/J",0.0101333600379135,TRUE,FALSE
"DBA/2J","SWR/J",0.0628065391307701,TRUE,FALSE
