"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",0.211366833566883,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.00630576972096845,FALSE,TRUE
"C57BL/6J","DBA/2J",0.578957853141096,FALSE,TRUE
"C3H/HeJ","SWR/J",3.15773181503896e-05,FALSE,TRUE
"C57BL/6J","SWR/J",0.0785409988852894,FALSE,TRUE
"DBA/2J","SWR/J",0.0237420275057585,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.25364020028026,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.0189173091629053,TRUE,TRUE
"C57BL/6J","DBA/2J",0.578957853141096,TRUE,TRUE
"C3H/HeJ","SWR/J",0.000189463908902338,TRUE,TRUE
"C57BL/6J","SWR/J",0.117811498327934,TRUE,TRUE
"DBA/2J","SWR/J",0.047484055011517,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.056326352805146,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.000434064609417982,FALSE,FALSE
"C57BL/6J","DBA/2J",0.368907505032311,FALSE,FALSE
"C3H/HeJ","SWR/J",3.51698566742356e-06,FALSE,FALSE
"C57BL/6J","SWR/J",0.0111461426794542,FALSE,FALSE
"DBA/2J","SWR/J",0.00210257742026375,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.0675916233661752,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.00130219382825395,TRUE,FALSE
"C57BL/6J","DBA/2J",0.368907505032311,TRUE,FALSE
"C3H/HeJ","SWR/J",2.11019140045413e-05,TRUE,FALSE
"C57BL/6J","SWR/J",0.0167192140191812,TRUE,FALSE
"DBA/2J","SWR/J",0.00420515484052749,TRUE,FALSE
