"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",0.926459669224585,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.112826671702191,FALSE,TRUE
"C57BL/6J","DBA/2J",0.0531439226176672,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.926459669224585,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.169240007553286,TRUE,TRUE
"C57BL/6J","DBA/2J",0.159431767853002,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.917632930026035,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.0768006145367516,FALSE,FALSE
"C57BL/6J","DBA/2J",0.0339508844625837,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.917632930026035,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.115200921805127,TRUE,FALSE
"C57BL/6J","DBA/2J",0.101852653387751,TRUE,FALSE
