"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",4.13646196968561e-05,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.451571635981818,FALSE,TRUE
"C57BL/6J","DBA/2J",0.000325446562689532,FALSE,TRUE
"C3H/HeJ","SWR/J",4.3821557368989e-05,FALSE,TRUE
"C57BL/6J","SWR/J",0.122343660967255,FALSE,TRUE
"DBA/2J","SWR/J",0.00334091257711381,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.000131464672106967,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.451571635981818,TRUE,TRUE
"C57BL/6J","DBA/2J",0.000650893125379064,TRUE,TRUE
"C3H/HeJ","SWR/J",0.000131464672106967,TRUE,TRUE
"C57BL/6J","SWR/J",0.146812393160706,TRUE,TRUE
"DBA/2J","SWR/J",0.00501136886567071,TRUE,TRUE
"C3H/HeJ","C57BL/6J",3.08064043826351e-09,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.311203944560296,FALSE,FALSE
"C57BL/6J","DBA/2J",6.19542148744198e-07,FALSE,FALSE
"C3H/HeJ","SWR/J",1.61157987024133e-07,FALSE,FALSE
"C57BL/6J","SWR/J",0.0197714995152772,FALSE,FALSE
"DBA/2J","SWR/J",0.000180442462732068,FALSE,FALSE
"C3H/HeJ","C57BL/6J",1.84838426295811e-08,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.311203944560296,TRUE,FALSE
"C57BL/6J","DBA/2J",1.2390842974884e-06,TRUE,FALSE
"C3H/HeJ","SWR/J",4.834739610724e-07,TRUE,FALSE
"C57BL/6J","SWR/J",0.0237257994183327,TRUE,FALSE
"DBA/2J","SWR/J",0.000270663694098103,TRUE,FALSE
