"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",0.503604793060957,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.000996286351977033,FALSE,TRUE
"C57BL/6J","DBA/2J",0.000272930360646461,FALSE,TRUE
"C3H/HeJ","SWR/J",0.265323515937047,FALSE,TRUE
"C57BL/6J","SWR/J",0.556191448619976,FALSE,TRUE
"DBA/2J","SWR/J",0.000198499449074015,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.556191448619976,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.00199257270395407,TRUE,TRUE
"C57BL/6J","DBA/2J",0.000818791081939383,TRUE,TRUE
"C3H/HeJ","SWR/J",0.397985273905571,TRUE,TRUE
"C57BL/6J","SWR/J",0.556191448619976,TRUE,TRUE
"DBA/2J","SWR/J",0.000818791081939383,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.182184055086058,FALSE,FALSE
"C3H/HeJ","DBA/2J",1.84460221535606e-06,FALSE,FALSE
"C57BL/6J","DBA/2J",2.46368355562248e-09,FALSE,FALSE
"C3H/HeJ","SWR/J",0.0451810658109423,FALSE,FALSE
"C57BL/6J","SWR/J",0.229584336068875,FALSE,FALSE
"DBA/2J","SWR/J",9.20029468961645e-08,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.218620866103269,TRUE,FALSE
"C3H/HeJ","DBA/2J",3.68920443071213e-06,TRUE,FALSE
"C57BL/6J","DBA/2J",1.47821013337349e-08,TRUE,FALSE
"C3H/HeJ","SWR/J",0.0677715987164135,TRUE,FALSE
"C57BL/6J","SWR/J",0.229584336068875,TRUE,FALSE
"DBA/2J","SWR/J",2.76008840688493e-07,TRUE,FALSE
