"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",0.914234955164474,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.723907805922698,FALSE,TRUE
"C57BL/6J","DBA/2J",0.842547360158944,FALSE,TRUE
"C3H/HeJ","SWR/J",3.67850960308066e-06,FALSE,TRUE
"C57BL/6J","SWR/J",0.00078507156172488,FALSE,TRUE
"DBA/2J","SWR/J",0.00149875606028509,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.914234955164474,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.914234955164474,TRUE,TRUE
"C57BL/6J","DBA/2J",0.914234955164474,TRUE,TRUE
"C3H/HeJ","SWR/J",2.20710576184839e-05,TRUE,TRUE
"C57BL/6J","SWR/J",0.00235521468517464,TRUE,TRUE
"DBA/2J","SWR/J",0.00299751212057019,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.914234948559478,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.723907784543557,FALSE,FALSE
"C57BL/6J","DBA/2J",0.842547348202315,FALSE,FALSE
"C3H/HeJ","SWR/J",3.67851876819845e-06,FALSE,FALSE
"C57BL/6J","SWR/J",0.000785071963228774,FALSE,FALSE
"DBA/2J","SWR/J",0.0014987565125324,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.914234948559478,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.914234948559478,TRUE,FALSE
"C57BL/6J","DBA/2J",0.914234948559478,TRUE,FALSE
"C3H/HeJ","SWR/J",2.20711126091907e-05,TRUE,FALSE
"C57BL/6J","SWR/J",0.00235521588968632,TRUE,FALSE
"DBA/2J","SWR/J",0.0029975130250648,TRUE,FALSE
