"strain1","strain2","pvalue","FDR","gxl"
"C3H/HeJ","C57BL/6J",0.289979918012007,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.875070809458769,FALSE,TRUE
"C57BL/6J","DBA/2J",0.21277939195075,FALSE,TRUE
"C3H/HeJ","SWR/J",0.000191686770333594,FALSE,TRUE
"C57BL/6J","SWR/J",0.00409002629629485,FALSE,TRUE
"DBA/2J","SWR/J",7.31005445294494e-05,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.347975901614408,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.875070809458769,TRUE,TRUE
"C57BL/6J","DBA/2J",0.319169087926124,TRUE,TRUE
"C3H/HeJ","SWR/J",0.000575060311000782,TRUE,TRUE
"C57BL/6J","SWR/J",0.0081800525925897,TRUE,TRUE
"DBA/2J","SWR/J",0.000438603267176696,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.195167529293121,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.843485246053448,FALSE,FALSE
"C57BL/6J","DBA/2J",0.129287751205866,FALSE,FALSE
"C3H/HeJ","SWR/J",5.00796115426092e-05,FALSE,FALSE
"C57BL/6J","SWR/J",0.0013167880358485,FALSE,FALSE
"DBA/2J","SWR/J",2.03175520543726e-05,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.234201035151745,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.843485246053448,TRUE,FALSE
"C57BL/6J","DBA/2J",0.193931626808799,TRUE,FALSE
"C3H/HeJ","SWR/J",0.000150238834627828,TRUE,FALSE
"C57BL/6J","SWR/J",0.002633576071697,TRUE,FALSE
"DBA/2J","SWR/J",0.000121905312326235,TRUE,FALSE
