"strain1","strain2","pvalue","FDR","gxl"
"BALB/cJ","BALB/cJ",0.92188788681608,FALSE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.0672489670294197,FALSE,TRUE
"BTBR T+ tf/J","BTBR T+ tf/J",0.652844401623195,FALSE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.0412780170078601,FALSE,TRUE
"BALB/cJ","C3H/HeJ",0.694139382328805,FALSE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.00711801586407201,FALSE,TRUE
"C3H/HeJ","C3H/HeJ",0.847518632001327,FALSE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.0100278589387752,FALSE,TRUE
"BALB/cJ","C3H/HeJ",0.840213691168572,FALSE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.0139148328545526,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.877298493755092,FALSE,TRUE
"BALB/cJ","C57BL/6J",0.671608547756657,FALSE,TRUE
"BALB/cJ","C57BL/6J",0.683901535059295,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.538377651349276,FALSE,TRUE
"C57BL/6J","C57BL/6J",0.808781280552004,FALSE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.0445568160777508,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.921594438887055,FALSE,TRUE
"BALB/cJ","DBA/2J",0.741822627168242,FALSE,TRUE
"BTBR T+ tf/J","DBA/2J",0.0111556994493967,FALSE,TRUE
"C57BL/6J","DBA/2J",0.832736124162105,FALSE,TRUE
"BALB/cJ","DBA/2J",0.191088795879151,FALSE,TRUE
"C57BL/6J","DBA/2J",0.269324221710363,FALSE,TRUE
"BTBR T+ tf/J","DBA/2J",0.617150172951291,FALSE,TRUE
"C3H/HeJ","DBA/2J",0.139511850145348,FALSE,TRUE
"DBA/2J","DBA/2J",0.137432347857943,FALSE,TRUE
"BTBR T+ tf/J","SWR/J",0.0927379408321387,FALSE,TRUE
"DBA/2J","SWR/J",0.157194375957668,FALSE,TRUE
"BALB/cJ","SWR/J",0.274854886835784,FALSE,TRUE
"C3H/HeJ","SWR/J",0.0978770263037809,FALSE,TRUE
"C57BL/6J","SWR/J",0.151964469834264,FALSE,TRUE
"BTBR T+ tf/J","SWR/J",0.124856889996383,FALSE,TRUE
"BALB/cJ","SWR/J",0.168638989275441,FALSE,TRUE
"C3H/HeJ","SWR/J",0.00488922056980138,FALSE,TRUE
"C57BL/6J","SWR/J",0.0918374483163755,FALSE,TRUE
"DBA/2J","SWR/J",0.536012997840643,FALSE,TRUE
"SWR/J","SWR/J",0.538950892627349,FALSE,TRUE
"BALB/cJ","BALB/cJ",0.92188788681608,TRUE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.302620351632388,TRUE,TRUE
"BTBR T+ tf/J","BTBR T+ tf/J",0.892464920137035,TRUE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.229149339828433,TRUE,TRUE
"BALB/cJ","C3H/HeJ",0.892464920137035,TRUE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.100186796552778,TRUE,TRUE
"C3H/HeJ","C3H/HeJ",0.92188788681608,TRUE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.100186796552778,TRUE,TRUE
"BALB/cJ","C3H/HeJ",0.92188788681608,TRUE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.100186796552778,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.92188788681608,TRUE,TRUE
"BALB/cJ","C57BL/6J",0.892464920137035,TRUE,TRUE
"BALB/cJ","C57BL/6J",0.892464920137035,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.843575310199329,TRUE,TRUE
"C57BL/6J","C57BL/6J",0.92188788681608,TRUE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.229149339828433,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.92188788681608,TRUE,TRUE
"BALB/cJ","DBA/2J",0.9208832613123,TRUE,TRUE
"BTBR T+ tf/J","DBA/2J",0.100186796552778,TRUE,TRUE
"C57BL/6J","DBA/2J",0.92188788681608,TRUE,TRUE
"BALB/cJ","DBA/2J",0.382177591758301,TRUE,TRUE
"C57BL/6J","DBA/2J",0.494738796304411,TRUE,TRUE
"BTBR T+ tf/J","DBA/2J",0.892464920137035,TRUE,TRUE
"C3H/HeJ","DBA/2J",0.353687345904753,TRUE,TRUE
"DBA/2J","DBA/2J",0.353687345904753,TRUE,TRUE
"BTBR T+ tf/J","SWR/J",0.320324813357828,TRUE,TRUE
"DBA/2J","SWR/J",0.353687345904753,TRUE,TRUE
"BALB/cJ","SWR/J",0.494738796304411,TRUE,TRUE
"C3H/HeJ","SWR/J",0.320324813357828,TRUE,TRUE
"C57BL/6J","SWR/J",0.353687345904753,TRUE,TRUE
"BTBR T+ tf/J","SWR/J",0.353687345904753,TRUE,TRUE
"BALB/cJ","SWR/J",0.357117859642111,TRUE,TRUE
"C3H/HeJ","SWR/J",0.100186796552778,TRUE,TRUE
"C57BL/6J","SWR/J",0.320324813357828,TRUE,TRUE
"DBA/2J","SWR/J",0.843575310199329,TRUE,TRUE
"SWR/J","SWR/J",0.843575310199329,TRUE,TRUE
"BALB/cJ","BALB/cJ",0.88400246383074,FALSE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.011627962351073,FALSE,FALSE
"BTBR T+ tf/J","BTBR T+ tf/J",0.499462071292593,FALSE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.00226547614263012,FALSE,FALSE
"BALB/cJ","C3H/HeJ",0.543403545299558,FALSE,FALSE
"BTBR T+ tf/J","C3H/HeJ",7.98600287324843e-05,FALSE,FALSE
"C3H/HeJ","C3H/HeJ",0.744159827978356,FALSE,FALSE
"BTBR T+ tf/J","C3H/HeJ",5.4426888438582e-05,FALSE,FALSE
"BALB/cJ","C3H/HeJ",0.746056631472861,FALSE,FALSE
"BTBR T+ tf/J","C57BL/6J",0.000502135979580667,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.801046721303727,FALSE,FALSE
"BALB/cJ","C57BL/6J",0.524336331295273,FALSE,FALSE
"BALB/cJ","C57BL/6J",0.545539097438319,FALSE,FALSE
