"strain1","strain2","pvalue","FDR","gxl"
"A/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"SM/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"LG/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"LP/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"C58/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"P/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"PL/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"CE/J-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","129S1/SvImJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","A/J-control",NA,FALSE,TRUE
"PL/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","A/J-fluoxetine",NA,FALSE,TRUE
"P/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","A/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","A/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","A/J-fluoxetine",NA,FALSE,TRUE
