"strain1","strain2","pvalue","FDR","gxl"
"BALB/cJ","BALB/cJ",1.8968836622107e-09,FALSE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.0648627913870146,FALSE,TRUE
"BTBR T+ tf/J","BTBR T+ tf/J",2.12866403989502e-14,FALSE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.0648627913870141,FALSE,TRUE
"BALB/cJ","C3H/HeJ",0.00328774381351707,FALSE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.0898924902992307,FALSE,TRUE
"C3H/HeJ","C3H/HeJ",7.5532898513912e-26,FALSE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.0898924902992308,FALSE,TRUE
"BALB/cJ","C3H/HeJ",0.00328774381351713,FALSE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.15580511098753,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.924756702955976,FALSE,TRUE
"BALB/cJ","C57BL/6J",0.0184754834999979,FALSE,TRUE
"BALB/cJ","C57BL/6J",0.0184754834999982,FALSE,TRUE
"C3H/HeJ","C57BL/6J",0.924756702955976,FALSE,TRUE
"C57BL/6J","C57BL/6J",1.35957705031722e-15,FALSE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.15580511098753,FALSE,TRUE
"C3H/HeJ","DBA/2J",1.21524354351591e-06,FALSE,TRUE
"BALB/cJ","DBA/2J",0.839084523412484,FALSE,TRUE
"BTBR T+ tf/J","DBA/2J",0.00382322022433325,FALSE,TRUE
"C57BL/6J","DBA/2J",4.51070825729772e-05,FALSE,TRUE
"BALB/cJ","DBA/2J",0.839084523412471,FALSE,TRUE
"C57BL/6J","DBA/2J",4.51070825729784e-05,FALSE,TRUE
"BTBR T+ tf/J","DBA/2J",0.00382322022433327,FALSE,TRUE
"C3H/HeJ","DBA/2J",1.21524354351595e-06,FALSE,TRUE
"DBA/2J","DBA/2J",3.33656216792174e-23,FALSE,TRUE
"BTBR T+ tf/J","SWR/J",0.00199948700032129,FALSE,TRUE
"DBA/2J","SWR/J",3.18471194046226e-08,FALSE,TRUE
"BALB/cJ","SWR/J",0.000812182000477045,FALSE,TRUE
"C3H/HeJ","SWR/J",0.00323684774843342,FALSE,TRUE
"C57BL/6J","SWR/J",0.01470527839838,FALSE,TRUE
"BTBR T+ tf/J","SWR/J",0.00199948700032129,FALSE,TRUE
"BALB/cJ","SWR/J",0.000812182000477079,FALSE,TRUE
"C3H/HeJ","SWR/J",0.00323684774843343,FALSE,TRUE
"C57BL/6J","SWR/J",0.01470527839838,FALSE,TRUE
"DBA/2J","SWR/J",3.18471194046241e-08,FALSE,TRUE
"SWR/J","SWR/J",1.54825332636218e-17,FALSE,TRUE
"BALB/cJ","BALB/cJ",1.13813019732642e-08,TRUE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.0833950174975902,TRUE,TRUE
"BTBR T+ tf/J","BTBR T+ tf/J",1.53263810872442e-13,TRUE,TRUE
"BALB/cJ","BTBR T+ tf/J",0.0833950174975902,TRUE,TRUE
"BALB/cJ","C3H/HeJ",0.00591793886433083,TRUE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.107870988359077,TRUE,TRUE
"C3H/HeJ","C3H/HeJ",2.71918434650083e-24,TRUE,TRUE
"BTBR T+ tf/J","C3H/HeJ",0.107870988359077,TRUE,TRUE
"BALB/cJ","C3H/HeJ",0.00591793886433083,TRUE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.175280749860971,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.924756702955976,TRUE,TRUE
"BALB/cJ","C57BL/6J",0.0255814386923052,TRUE,TRUE
"BALB/cJ","C57BL/6J",0.0255814386923052,TRUE,TRUE
"C3H/HeJ","C57BL/6J",0.924756702955976,TRUE,TRUE
"C57BL/6J","C57BL/6J",1.22361934528549e-14,TRUE,TRUE
"BTBR T+ tf/J","C57BL/6J",0.175280749860971,TRUE,TRUE
"C3H/HeJ","DBA/2J",4.37487675665742e-06,TRUE,TRUE
"BALB/cJ","DBA/2J",0.888442436554395,TRUE,TRUE
"BTBR T+ tf/J","DBA/2J",0.00625617854890898,TRUE,TRUE
"C57BL/6J","DBA/2J",0.000135321247718935,TRUE,TRUE
"BALB/cJ","DBA/2J",0.888442436554395,TRUE,TRUE
"C57BL/6J","DBA/2J",0.000135321247718935,TRUE,TRUE
"BTBR T+ tf/J","DBA/2J",0.00625617854890898,TRUE,TRUE
"C3H/HeJ","DBA/2J",4.37487675665742e-06,TRUE,TRUE
"DBA/2J","DBA/2J",6.00581190225913e-22,TRUE,TRUE
"BTBR T+ tf/J","SWR/J",0.0044988457507229,TRUE,TRUE
"DBA/2J","SWR/J",1.43312037320809e-07,TRUE,TRUE
"BALB/cJ","SWR/J",0.00208846800122678,TRUE,TRUE
"C3H/HeJ","SWR/J",0.00591793886433083,TRUE,TRUE
"C57BL/6J","SWR/J",0.0220579175975701,TRUE,TRUE
"BTBR T+ tf/J","SWR/J",0.0044988457507229,TRUE,TRUE
"BALB/cJ","SWR/J",0.00208846800122678,TRUE,TRUE
"C3H/HeJ","SWR/J",0.00591793886433083,TRUE,TRUE
"C57BL/6J","SWR/J",0.0220579175975701,TRUE,TRUE
"DBA/2J","SWR/J",1.43312037320809e-07,TRUE,TRUE
"SWR/J","SWR/J",1.85790399163462e-16,TRUE,TRUE
"BALB/cJ","BALB/cJ",1.34692542476473e-08,FALSE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.0482379308209913,FALSE,FALSE
"BTBR T+ tf/J","BTBR T+ tf/J",1.9013501553266e-12,FALSE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.0482379308209909,FALSE,FALSE
"BALB/cJ","C3H/HeJ",0.00190407803032801,FALSE,FALSE
"BTBR T+ tf/J","C3H/HeJ",0.0641300027257204,FALSE,FALSE
"C3H/HeJ","C3H/HeJ",4.51879489242793e-22,FALSE,FALSE
"BTBR T+ tf/J","C3H/HeJ",0.0641300027257204,FALSE,FALSE
"BALB/cJ","C3H/HeJ",0.00190407803032804,FALSE,FALSE
"BTBR T+ tf/J","C57BL/6J",0.129595667955461,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.91792295562037,FALSE,FALSE
"BALB/cJ","C57BL/6J",0.0142073949616761,FALSE,FALSE
"BALB/cJ","C57BL/6J",0.0142073949616763,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.91792295562037,FALSE,FALSE
"C57BL/6J","C57BL/6J",1.67377036355789e-12,FALSE,FALSE
"BTBR T+ tf/J","C57BL/6J",0.129595667955461,FALSE,FALSE
"C3H/HeJ","DBA/2J",4.06644474434661e-07,FALSE,FALSE
"BALB/cJ","DBA/2J",0.821862593221017,FALSE,FALSE
"BTBR T+ tf/J","DBA/2J",0.00190577399491742,FALSE,FALSE
"C57BL/6J","DBA/2J",3.18628366563447e-05,FALSE,FALSE
"BALB/cJ","DBA/2J",0.821862593221003,FALSE,FALSE
"C57BL/6J","DBA/2J",3.18628366563454e-05,FALSE,FALSE
"BTBR T+ tf/J","DBA/2J",0.00190577399491743,FALSE,FALSE
"C3H/HeJ","DBA/2J",4.06644474434673e-07,FALSE,FALSE
"DBA/2J","DBA/2J",1.56427056299392e-21,FALSE,FALSE
"BTBR T+ tf/J","SWR/J",0.00127549744487064,FALSE,FALSE
"DBA/2J","SWR/J",2.84237784996909e-08,FALSE,FALSE
"BALB/cJ","SWR/J",0.00057079634602205,FALSE,FALSE
"C3H/HeJ","SWR/J",0.00175643316053461,FALSE,FALSE
"C57BL/6J","SWR/J",0.0109329127111766,FALSE,FALSE
"BTBR T+ tf/J","SWR/J",0.00127549744487065,FALSE,FALSE
"BALB/cJ","SWR/J",0.000570796346022071,FALSE,FALSE
"C3H/HeJ","SWR/J",0.00175643316053462,FALSE,FALSE
"C57BL/6J","SWR/J",0.0109329127111766,FALSE,FALSE
"DBA/2J","SWR/J",2.84237784996921e-08,FALSE,FALSE
"SWR/J","SWR/J",1.21120805166599e-14,FALSE,FALSE
"BALB/cJ","BALB/cJ",8.08155254858838e-08,TRUE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.062020196769846,TRUE,FALSE
"BTBR T+ tf/J","BTBR T+ tf/J",1.36897211183515e-11,TRUE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.062020196769846,TRUE,FALSE
"BALB/cJ","C3H/HeJ",0.00311853926441034,TRUE,FALSE
"BTBR T+ tf/J","C3H/HeJ",0.0769560032708645,TRUE,FALSE
"C3H/HeJ","C3H/HeJ",1.62676616127405e-20,TRUE,FALSE
"BTBR T+ tf/J","C3H/HeJ",0.0769560032708645,TRUE,FALSE
"BALB/cJ","C3H/HeJ",0.00311853926441034,TRUE,FALSE
"BTBR T+ tf/J","C57BL/6J",0.145795126449894,TRUE,FALSE
"C3H/HeJ","C57BL/6J",0.91792295562037,TRUE,FALSE
"BALB/cJ","C57BL/6J",0.0196717776392441,TRUE,FALSE
"BALB/cJ","C57BL/6J",0.0196717776392441,TRUE,FALSE
"C3H/HeJ","C57BL/6J",0.91792295562037,TRUE,FALSE
"C57BL/6J","C57BL/6J",1.36897211183515e-11,TRUE,FALSE
"BTBR T+ tf/J","C57BL/6J",0.145795126449894,TRUE,FALSE
"C3H/HeJ","DBA/2J",1.46392010796482e-06,TRUE,FALSE
"BALB/cJ","DBA/2J",0.870207451645783,TRUE,FALSE
"BTBR T+ tf/J","DBA/2J",0.00311853926441034,TRUE,FALSE
"C57BL/6J","DBA/2J",9.55885099690362e-05,TRUE,FALSE
"BALB/cJ","DBA/2J",0.870207451645783,TRUE,FALSE
"C57BL/6J","DBA/2J",9.55885099690362e-05,TRUE,FALSE
"BTBR T+ tf/J","DBA/2J",0.00311853926441034,TRUE,FALSE
"C3H/HeJ","DBA/2J",1.46392010796482e-06,TRUE,FALSE
"DBA/2J","DBA/2J",2.81568701338906e-20,TRUE,FALSE
"BTBR T+ tf/J","SWR/J",0.00286986925095896,TRUE,FALSE
"DBA/2J","SWR/J",1.27907003248614e-07,TRUE,FALSE
"BALB/cJ","SWR/J",0.00146776203262818,TRUE,FALSE
"C3H/HeJ","SWR/J",0.00311853926441034,TRUE,FALSE
"C57BL/6J","SWR/J",0.0163993690667649,TRUE,FALSE
"BTBR T+ tf/J","SWR/J",0.00286986925095896,TRUE,FALSE
"BALB/cJ","SWR/J",0.00146776203262818,TRUE,FALSE
"C3H/HeJ","SWR/J",0.00311853926441034,TRUE,FALSE
"C57BL/6J","SWR/J",0.0163993690667649,TRUE,FALSE
"DBA/2J","SWR/J",1.27907003248614e-07,TRUE,FALSE
"SWR/J","SWR/J",1.45344966199919e-13,TRUE,FALSE
