"strain1","strain2","pvalue","FDR","gxl"
"BALB/cJ","BALB/cJ",NA,FALSE,TRUE
"BALB/cJ","BTBR T+ tf/J",NA,FALSE,TRUE
"BTBR T+ tf/J","BTBR T+ tf/J",NA,FALSE,TRUE
"BALB/cJ","BTBR T+ tf/J",NA,FALSE,TRUE
"BALB/cJ","C3H/HeJ",NA,FALSE,TRUE
"BTBR T+ tf/J","C3H/HeJ",NA,FALSE,TRUE
"C3H/HeJ","C3H/HeJ",NA,FALSE,TRUE
"BTBR T+ tf/J","C3H/HeJ",NA,FALSE,TRUE
"BALB/cJ","C3H/HeJ",NA,FALSE,TRUE
"BTBR T+ tf/J","C57BL/6J",NA,FALSE,TRUE
"C3H/HeJ","C57BL/6J",NA,FALSE,TRUE
"BALB/cJ","C57BL/6J",NA,FALSE,TRUE
"BALB/cJ","C57BL/6J",NA,FALSE,TRUE
"C3H/HeJ","C57BL/6J",NA,FALSE,TRUE
"C57BL/6J","C57BL/6J",NA,FALSE,TRUE
"BTBR T+ tf/J","C57BL/6J",NA,FALSE,TRUE
"C3H/HeJ","DBA/2J",NA,FALSE,TRUE
"BALB/cJ","DBA/2J",NA,FALSE,TRUE
"BTBR T+ tf/J","DBA/2J",NA,FALSE,TRUE
"C57BL/6J","DBA/2J",NA,FALSE,TRUE
"BALB/cJ","DBA/2J",NA,FALSE,TRUE
"C57BL/6J","DBA/2J",NA,FALSE,TRUE
"BTBR T+ tf/J","DBA/2J",NA,FALSE,TRUE
"C3H/HeJ","DBA/2J",NA,FALSE,TRUE
"DBA/2J","DBA/2J",NA,FALSE,TRUE
"BTBR T+ tf/J","SWR/J",NA,FALSE,TRUE
"DBA/2J","SWR/J",NA,FALSE,TRUE
"BALB/cJ","SWR/J",NA,FALSE,TRUE
"C3H/HeJ","SWR/J",NA,FALSE,TRUE
"C57BL/6J","SWR/J",NA,FALSE,TRUE
"BTBR T+ tf/J","SWR/J",NA,FALSE,TRUE
"BALB/cJ","SWR/J",NA,FALSE,TRUE
"C3H/HeJ","SWR/J",NA,FALSE,TRUE
"C57BL/6J","SWR/J",NA,FALSE,TRUE
"DBA/2J","SWR/J",NA,FALSE,TRUE
"SWR/J","SWR/J",NA,FALSE,TRUE
"BALB/cJ","BALB/cJ",NA,TRUE,TRUE
"BALB/cJ","BTBR T+ tf/J",NA,TRUE,TRUE
"BTBR T+ tf/J","BTBR T+ tf/J",NA,TRUE,TRUE
"BALB/cJ","BTBR T+ tf/J",NA,TRUE,TRUE
"BALB/cJ","C3H/HeJ",NA,TRUE,TRUE
"BTBR T+ tf/J","C3H/HeJ",NA,TRUE,TRUE
"C3H/HeJ","C3H/HeJ",NA,TRUE,TRUE
"BTBR T+ tf/J","C3H/HeJ",NA,TRUE,TRUE
"BALB/cJ","C3H/HeJ",NA,TRUE,TRUE
"BTBR T+ tf/J","C57BL/6J",NA,TRUE,TRUE
"C3H/HeJ","C57BL/6J",NA,TRUE,TRUE
"BALB/cJ","C57BL/6J",NA,TRUE,TRUE
"BALB/cJ","C57BL/6J",NA,TRUE,TRUE
"C3H/HeJ","C57BL/6J",NA,TRUE,TRUE
"C57BL/6J","C57BL/6J",NA,TRUE,TRUE
"BTBR T+ tf/J","C57BL/6J",NA,TRUE,TRUE
"C3H/HeJ","DBA/2J",NA,TRUE,TRUE
"BALB/cJ","DBA/2J",NA,TRUE,TRUE
"BTBR T+ tf/J","DBA/2J",NA,TRUE,TRUE
"C57BL/6J","DBA/2J",NA,TRUE,TRUE
"BALB/cJ","DBA/2J",NA,TRUE,TRUE
"C57BL/6J","DBA/2J",NA,TRUE,TRUE
"BTBR T+ tf/J","DBA/2J",NA,TRUE,TRUE
"C3H/HeJ","DBA/2J",NA,TRUE,TRUE
"DBA/2J","DBA/2J",NA,TRUE,TRUE
"BTBR T+ tf/J","SWR/J",NA,TRUE,TRUE
"DBA/2J","SWR/J",NA,TRUE,TRUE
"BALB/cJ","SWR/J",NA,TRUE,TRUE
"C3H/HeJ","SWR/J",NA,TRUE,TRUE
"C57BL/6J","SWR/J",NA,TRUE,TRUE
"BTBR T+ tf/J","SWR/J",NA,TRUE,TRUE
"BALB/cJ","SWR/J",NA,TRUE,TRUE
"C3H/HeJ","SWR/J",NA,TRUE,TRUE
"C57BL/6J","SWR/J",NA,TRUE,TRUE
"DBA/2J","SWR/J",NA,TRUE,TRUE
"SWR/J","SWR/J",NA,TRUE,TRUE
"BALB/cJ","BALB/cJ",0.000446060606000577,FALSE,FALSE
"BALB/cJ","BTBR T+ tf/J",1.28809454786945e-05,FALSE,FALSE
"BTBR T+ tf/J","BTBR T+ tf/J",0.390464123751132,FALSE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.000325071522476535,FALSE,FALSE
"BALB/cJ","C3H/HeJ",0.487338952828663,FALSE,FALSE
"BTBR T+ tf/J","C3H/HeJ",6.15917198083539e-06,FALSE,FALSE
"C3H/HeJ","C3H/HeJ",0.332857732041534,FALSE,FALSE
"BTBR T+ tf/J","C3H/HeJ",1.49131583218205e-06,FALSE,FALSE
"BALB/cJ","C3H/HeJ",0.00038011296042266,FALSE,FALSE
"BTBR T+ tf/J","C57BL/6J",1.95999246657968e-06,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.000338005493978695,FALSE,FALSE
"BALB/cJ","C57BL/6J",0.00276852243263444,FALSE,FALSE
"BALB/cJ","C57BL/6J",0.00242821976896334,FALSE,FALSE
"C3H/HeJ","C57BL/6J",0.633136066379841,FALSE,FALSE
"C57BL/6J","C57BL/6J",0.00409926005660925,FALSE,FALSE
"BTBR T+ tf/J","C57BL/6J",8.75154131197579e-07,FALSE,FALSE
"C3H/HeJ","DBA/2J",0.000530971430300379,FALSE,FALSE
"BALB/cJ","DBA/2J",0.000151969644236675,FALSE,FALSE
"BTBR T+ tf/J","DBA/2J",0.0839892556585989,FALSE,FALSE
"C57BL/6J","DBA/2J",9.52010115546199e-07,FALSE,FALSE
"BALB/cJ","DBA/2J",0.00288469125116024,FALSE,FALSE
"C57BL/6J","DBA/2J",2.34311905966657e-06,FALSE,FALSE
"BTBR T+ tf/J","DBA/2J",0.0864841583595024,FALSE,FALSE
"C3H/HeJ","DBA/2J",3.57369711629466e-06,FALSE,FALSE
"DBA/2J","DBA/2J",0.0750921651448812,FALSE,FALSE
"BTBR T+ tf/J","SWR/J",0.025000441189576,FALSE,FALSE
"DBA/2J","SWR/J",0.685614995667952,FALSE,FALSE
"BALB/cJ","SWR/J",0.000794872303359104,FALSE,FALSE
"C3H/HeJ","SWR/J",0.00156870228780641,FALSE,FALSE
"C57BL/6J","SWR/J",4.96735260132539e-06,FALSE,FALSE
"BTBR T+ tf/J","SWR/J",0.000486506055584815,FALSE,FALSE
"BALB/cJ","SWR/J",0.355857370763132,FALSE,FALSE
"C3H/HeJ","SWR/J",0.0231038869003735,FALSE,FALSE
"C57BL/6J","SWR/J",0.0685521847433804,FALSE,FALSE
"DBA/2J","SWR/J",0.00203981667242094,FALSE,FALSE
"SWR/J","SWR/J",0.234956571948147,FALSE,FALSE
"BALB/cJ","BALB/cJ",0.00114701298685863,TRUE,FALSE
"BALB/cJ","BTBR T+ tf/J",5.1523781914778e-05,TRUE,FALSE
"BTBR T+ tf/J","BTBR T+ tf/J",0.425960862273963,TRUE,FALSE
"BALB/cJ","BTBR T+ tf/J",0.00101401648193608,TRUE,FALSE
"BALB/cJ","C3H/HeJ",0.516005950053879,TRUE,FALSE
"BTBR T+ tf/J","C3H/HeJ",2.77162739137593e-05,TRUE,FALSE
"C3H/HeJ","C3H/HeJ",0.386544463015975,TRUE,FALSE
"BTBR T+ tf/J","C3H/HeJ",1.68704572295993e-05,TRUE,FALSE
"BALB/cJ","C3H/HeJ",0.00105262050578583,TRUE,FALSE
"BTBR T+ tf/J","C57BL/6J",1.68704572295993e-05,TRUE,FALSE
"C3H/HeJ","C57BL/6J",0.00101401648193608,TRUE,FALSE
"BALB/cJ","C57BL/6J",0.00472040386553494,TRUE,FALSE
"BALB/cJ","C57BL/6J",0.00437079558413402,TRUE,FALSE
"C3H/HeJ","C57BL/6J",0.651225668276408,TRUE,FALSE
"C57BL/6J","C57BL/6J",0.00641623313208404,TRUE,FALSE
"BTBR T+ tf/J","C57BL/6J",1.68704572295993e-05,TRUE,FALSE
"C3H/HeJ","DBA/2J",0.00119468571817585,TRUE,FALSE
"BALB/cJ","DBA/2J",0.000547090719252028,TRUE,FALSE
"BTBR T+ tf/J","DBA/2J",0.107359644860072,TRUE,FALSE
"C57BL/6J","DBA/2J",1.68704572295993e-05,TRUE,FALSE
"BALB/cJ","DBA/2J",0.00472040386553494,TRUE,FALSE
"C57BL/6J","DBA/2J",1.68704572295993e-05,TRUE,FALSE
"BTBR T+ tf/J","DBA/2J",0.107359644860072,TRUE,FALSE
"C3H/HeJ","DBA/2J",2.1442182697768e-05,TRUE,FALSE
"DBA/2J","DBA/2J",0.100122886859842,TRUE,FALSE
"BTBR T+ tf/J","SWR/J",0.0360006353129895,TRUE,FALSE
"DBA/2J","SWR/J",0.685614995667952,TRUE,FALSE
"BALB/cJ","SWR/J",0.00168325899534869,TRUE,FALSE
"C3H/HeJ","SWR/J",0.00313740457561283,TRUE,FALSE
"C57BL/6J","SWR/J",2.55463848068163e-05,TRUE,FALSE
"BTBR T+ tf/J","SWR/J",0.00116761453340356,TRUE,FALSE
"BALB/cJ","SWR/J",0.400339542108524,TRUE,FALSE
"C3H/HeJ","SWR/J",0.0346558303505602,TRUE,FALSE
"C57BL/6J","SWR/J",0.0949184096446805,TRUE,FALSE
"DBA/2J","SWR/J",0.00386491580037651,TRUE,FALSE
"SWR/J","SWR/J",0.281947886337777,TRUE,FALSE
