"","strain","FEMALES_grip_strength","group"
"1","129S1/SvImJ",122,"control"
"2","129S1/SvImJ",NA,"control"
"3","129S1/SvImJ",NA,"control"
"4","129S1/SvImJ",NA,"control"
"5","129S1/SvImJ",NA,"control"
"6","129S1/SvImJ",NA,"control"
"7","129S1/SvImJ",NA,"control"
"8","129S1/SvImJ",122,"control"
"9","129S1/SvImJ",132,"control"
"10","129S1/SvImJ",124,"control"
"11","129S1/SvImJ",115,"control"
"12","129S1/SvImJ",119,"control"
"13","A/J",139,"control"
"14","A/J",NA,"control"
"15","A/J",NA,"control"
"16","A/J",NA,"control"
"17","A/J",NA,"control"
"18","A/J",NA,"control"
"19","A/J",NA,"control"
"20","A/J",117,"control"
"21","A/J",117,"control"
"22","A/J",111,"control"
"23","A/J",124,"control"
"24","A/J",122,"control"
"25","AKR/J",NA,"control"
"26","AKR/J",NA,"control"
"27","AKR/J",NA,"control"
"28","AKR/J",NA,"control"
"29","AKR/J",NA,"control"
"30","AKR/J",NA,"control"
"31","AKR/J",118,"control"
"32","AKR/J",111,"control"
"33","AKR/J",124,"control"
"34","AKR/J",97.3,"control"
"35","AKR/J",119,"control"
"36","AKR/J",83.4,"control"
"37","BALB/cByJ",NA,"control"
"38","BALB/cByJ",NA,"control"
"39","BALB/cByJ",134,"control"
"40","BALB/cByJ",143,"control"
"41","BALB/cByJ",NA,"control"
"42","BALB/cByJ",NA,"control"
"43","BALB/cByJ",84.8,"control"
"44","BALB/cByJ",148,"control"
"45","BALB/cByJ",138,"control"
"46","BALB/cByJ",139,"control"
"47","BALB/cByJ",NA,"control"
"48","BALB/cByJ",NA,"control"
"49","BTBR T<+> Itpr3<tf>/J",NA,"control"
"50","BTBR T<+> Itpr3<tf>/J",NA,"control"
"51","BTBR T<+> Itpr3<tf>/J",NA,"control"
"52","BTBR T<+> Itpr3<tf>/J",NA,"control"
"53","BTBR T<+> Itpr3<tf>/J",0,"control"
"54","BTBR T<+> Itpr3<tf>/J",0,"control"
"55","BTBR T<+> Itpr3<tf>/J",117,"control"
"56","BTBR T<+> Itpr3<tf>/J",0,"control"
"57","BTBR T<+> Itpr3<tf>/J",123,"control"
"58","BTBR T<+> Itpr3<tf>/J",108,"control"
"59","BTBR T<+> Itpr3<tf>/J",NA,"control"
"60","C3H/HeJ",84.8,"control"
"61","C3H/HeJ",81.1,"control"
"62","C3H/HeJ",119,"control"
"63","C3H/HeJ",129,"control"
"64","C3H/HeJ",146,"control"
"65","C3H/HeJ",NA,"control"
"66","C3H/HeJ",NA,"control"
"67","C3H/HeJ",NA,"control"
"68","C3H/HeJ",NA,"control"
"69","C3H/HeJ",NA,"control"
"70","C3H/HeJ",NA,"control"
"71","C3H/HeJ",81.9,"control"
"72","C57BL/6J",NA,"control"
"73","C57BL/6J",108,"control"
"74","C57BL/6J",101,"control"
"75","C57BL/6J",127,"control"
"76","C57BL/6J",98.7,"control"
"77","C57BL/6J",142,"control"
"78","C57BL/6J",136,"control"
"79","C57BL/6J",122,"control"
"80","C57BL/6J",109,"control"
"81","C57BL/6J",112,"control"
"82","C57BL/6J",109,"control"
"83","C57BL/6J",131,"control"
"84","C57BL/6J",127,"control"
"85","C57BL/6J",NA,"control"
"86","C57BL/6J",NA,"control"
"87","C57BL/6J",NA,"control"
"88","C57BL/6J",NA,"control"
"89","C57BL/6J",NA,"control"
"90","C57L/J",112,"control"
"91","C57L/J",110,"control"
"92","C57L/J",103,"control"
"93","C57L/J",159,"control"
"94","C57L/J",NA,"control"
"95","C57L/J",151,"control"
"96","C57L/J",NA,"control"
"97","C57L/J",NA,"control"
"98","C57L/J",NA,"control"
"99","C57L/J",NA,"control"
"100","C57L/J",NA,"control"
"101","C57L/J",116,"control"
"102","C58/J",111,"control"
"103","C58/J",NA,"control"
"104","C58/J",NA,"control"
"105","C58/J",NA,"control"
"106","C58/J",NA,"control"
"107","C58/J",NA,"control"
"108","C58/J",114,"control"
"109","C58/J",97.2,"control"
"110","C58/J",124,"control"
"111","C58/J",NA,"control"
"112","CAST/EiJ",84.6,"control"
"113","CAST/EiJ",68.1,"control"
"114","CAST/EiJ",NA,"control"
"115","CAST/EiJ",NA,"control"
"116","CAST/EiJ",NA,"control"
"117","CAST/EiJ",NA,"control"
"118","CAST/EiJ",NA,"control"
"119","CAST/EiJ",107,"control"
"120","CAST/EiJ",91.5,"control"
"121","CAST/EiJ",80.9,"control"
"122","CAST/EiJ",108,"control"
"123","DBA/2J",NA,"control"
"124","DBA/2J",126,"control"
"125","DBA/2J",106,"control"
"126","DBA/2J",90.8,"control"
"127","DBA/2J",117,"control"
"128","DBA/2J",111,"control"
"129","DBA/2J",104,"control"
"130","DBA/2J",110,"control"
