"","strain","FEMALES_body_weight","group"
"1","129S1/SvImJ",1279,"control"
"2","129S1/SvImJ",78,"control"
"3","129S1/SvImJ",221,"control"
"4","129S1/SvImJ",61,"control"
"5","129S1/SvImJ",412,"control"
"6","129S1/SvImJ",1358,"control"
"7","129S1/SvImJ",1097,"control"
"8","129S1/SvImJ",930,"control"
"9","129S1/SvImJ",1705,"control"
"10","129S1/SvImJ",212,"control"
"11","A/J",646,"control"
"12","A/J",104,"control"
"13","A/J",1041,"control"
"14","A/J",423,"control"
"15","A/J",66,"control"
"16","A/J",21,"control"
"17","A/J",220,"control"
"18","A/J",548,"control"
"19","A/J",895,"control"
"20","A/J",678,"control"
"21","A/J",894,"control"
"22","AKR/J",1915,"control"
"23","AKR/J",2167,"control"
"24","AKR/J",2867,"control"
"25","AKR/J",3193,"control"
"26","AKR/J",2109,"control"
"27","AKR/J",3281,"control"
"28","AKR/J",4216,"control"
"29","AKR/J",3161,"control"
"30","AKR/J",3055,"control"
"31","AKR/J",4016,"control"
"32","AKR/J",2820,"control"
"33","BALB/cByJ",2706,"control"
"34","BALB/cByJ",2409,"control"
"35","BALB/cByJ",2156,"control"
"36","BALB/cByJ",2647,"control"
"37","BALB/cByJ",2037,"control"
"38","BALB/cByJ",1855,"control"
"39","BALB/cByJ",1911,"control"
"40","BALB/cByJ",1718,"control"
"41","BALB/cByJ",2165,"control"
"42","BALB/cByJ",2231,"control"
"43","BALB/cByJ",2239,"control"
"44","BTBR T<+> Itpr3<tf>/J",2672,"control"
"45","BTBR T<+> Itpr3<tf>/J",2812,"control"
"46","BTBR T<+> Itpr3<tf>/J",1769,"control"
"47","BTBR T<+> Itpr3<tf>/J",2374,"control"
"48","BTBR T<+> Itpr3<tf>/J",3775,"control"
"49","BTBR T<+> Itpr3<tf>/J",3366,"control"
"50","BTBR T<+> Itpr3<tf>/J",2631,"control"
"51","BTBR T<+> Itpr3<tf>/J",3134,"control"
"52","BTBR T<+> Itpr3<tf>/J",1914,"control"
"53","BTBR T<+> Itpr3<tf>/J",2880,"control"
"54","BTBR T<+> Itpr3<tf>/J",2960,"control"
"55","C3H/HeJ",1309,"control"
"56","C3H/HeJ",982,"control"
"57","C3H/HeJ",706,"control"
"58","C3H/HeJ",1833,"control"
"59","C3H/HeJ",1160,"control"
"60","C3H/HeJ",1376,"control"
"61","C3H/HeJ",874,"control"
"62","C3H/HeJ",993,"control"
"63","C3H/HeJ",1353,"control"
"64","C3H/HeJ",1522,"control"
"65","C3H/HeJ",1249,"control"
"66","C57BL/6J",2600,"control"
"67","C57BL/6J",2648,"control"
"68","C57BL/6J",3376,"control"
"69","C57BL/6J",3528,"control"
"70","C57BL/6J",3177,"control"
"71","C57BL/6J",1886,"control"
"72","C57BL/6J",1184,"control"
"73","C57BL/6J",3173,"control"
"74","C57BL/6J",2628,"control"
"75","C57BL/6J",2641,"control"
"76","C57BL/6J",2332,"control"
"77","C57BL/6J",3449,"control"
"78","C57BL/6J",2009,"control"
"79","C57BL/6J",3485,"control"
"80","C57BL/6J",3344,"control"
"81","C57BL/6J",2899,"control"
"82","C57BL/6J",2671,"control"
"83","C57BL/6J",2950,"control"
"84","C57BL/6J",3607,"control"
"85","C57BL/6J",3339,"control"
"86","C57BR/cdJ",11860,"control"
"87","C57BR/cdJ",4734,"control"
"88","C57BR/cdJ",4069,"control"
"89","C57BR/cdJ",4308,"control"
"90","C57BR/cdJ",3187,"control"
"91","C57BR/cdJ",7424,"control"
"92","C57L/J",2387,"control"
"93","C57L/J",3468,"control"
"94","C57L/J",2991,"control"
"95","C57L/J",1526,"control"
"96","C57L/J",2329,"control"
"97","C57L/J",2067,"control"
"98","C57L/J",1803,"control"
"99","C57L/J",1707,"control"
"100","C57L/J",2750,"control"
"101","C57L/J",1894,"control"
"102","C57L/J",1740,"control"
"103","C58/J",2400,"control"
"104","C58/J",10681,"control"
"105","C58/J",3310,"control"
"106","C58/J",3060,"control"
"107","C58/J",4086,"control"
"108","C58/J",3395,"control"
"109","C58/J",5079,"control"
"110","C58/J",11172,"control"
"111","C58/J",3525,"control"
"112","C58/J",3182,"control"
"113","CBA/J",947,"control"
"114","CBA/J",1077,"control"
"115","CBA/J",1350,"control"
"116","CBA/J",1300,"control"
"117","CBA/J",1631,"control"
"118","CBA/J",447,"control"
"119","CBA/J",1145,"control"
"120","CBA/J",1340,"control"
"121","CBA/J",435,"control"
"122","CBA/J",736,"control"
"123","CBA/J",736,"control"
"124","CZECHII/EiJ",2284,"control"
"125","CZECHII/EiJ",2613,"control"
"126","CZECHII/EiJ",2824,"control"
"127","CZECHII/EiJ",1951,"control"
"128","CZECHII/EiJ",2174,"control"
"129","DBA/2J",2100,"control"
"130","DBA/2J",576,"control"
"131","DBA/2J",1241,"control"
"132","DBA/2J",1110,"control"
"133","DBA/2J",1353,"control"
"134","DBA/2J",1282,"control"
"135","DBA/2J",1371,"control"
"136","DBA/2J",90,"control"
"137","DBA/2J",531,"control"
"138","FVB/NJ",2260,"control"
"139","FVB/NJ",2830,"control"
"140","FVB/NJ",2680,"control"
"141","FVB/NJ",3378,"control"
"142","FVB/NJ",2161,"control"
"143","FVB/NJ",3253,"control"
"144","FVB/NJ",2473,"control"
"145","FVB/NJ",2546,"control"
"146","FVB/NJ",2468,"control"
"147","FVB/NJ",2680,"control"
"148","I/LnJ",2539,"control"
"149","I/LnJ",2483,"control"
"150","I/LnJ",3849,"control"
"151","I/LnJ",3872,"control"
"152","I/LnJ",3495,"control"
"153","I/LnJ",2472,"control"
"154","I/LnJ",2376,"control"
"155","I/LnJ",1424,"control"
"156","I/LnJ",2780,"control"
"157","I/LnJ",3062,"control"
"158","I/LnJ",3864,"control"
"159","I/LnJ",2803,"control"
"160","KK/HlJ",1311,"control"
"161","KK/HlJ",1278,"control"
"162","KK/HlJ",1652,"control"
"163","KK/HlJ",2303,"control"
"164","KK/HlJ",2309,"control"
"165","KK/HlJ",1974,"control"
"166","LG/J",2176,"control"
"167","LG/J",2361,"control"
