"","strain","FEMALES_percentage_center_time","group"
"1","129S1/SvImJ",0,"control"
"2","129S1/SvImJ",0.6,"control"
"3","129S1/SvImJ",0,"control"
"4","129S1/SvImJ",0,"control"
"5","129S1/SvImJ",0.7167,"control"
"6","129S1/SvImJ",0,"control"
"7","129S1/SvImJ",0.0333,"control"
"8","129S1/SvImJ",0.5667,"control"
"9","129S1/SvImJ",2.8,"control"
"10","129S1/SvImJ",0.7833,"control"
"11","A/J",2.033,"control"
"12","A/J",0,"control"
"13","A/J",8.867,"control"
"14","A/J",0.3167,"control"
"15","A/J",0,"control"
"16","A/J",0,"control"
"17","A/J",0,"control"
"18","A/J",0,"control"
"19","A/J",1.267,"control"
"20","A/J",0.3833,"control"
"21","A/J",0.8167,"control"
"22","AKR/J",4.85,"control"
"23","AKR/J",5.25,"control"
"24","AKR/J",6.617,"control"
"25","AKR/J",7.533,"control"
"26","AKR/J",7.417,"control"
"27","AKR/J",15.88,"control"
"28","AKR/J",13.45,"control"
"29","AKR/J",21.38,"control"
"30","AKR/J",14.3,"control"
"31","AKR/J",11.88,"control"
"32","AKR/J",17.67,"control"
"33","BALB/cByJ",9.283,"control"
"34","BALB/cByJ",7.9,"control"
"35","BALB/cByJ",11.1,"control"
"36","BALB/cByJ",9.1,"control"
"37","BALB/cByJ",7.05,"control"
"38","BALB/cByJ",3.8,"control"
"39","BALB/cByJ",1.867,"control"
"40","BALB/cByJ",1.283,"control"
"41","BALB/cByJ",5.217,"control"
"42","BALB/cByJ",2.1,"control"
"43","BALB/cByJ",5.2,"control"
"44","BTBR T<+> Itpr3<tf>/J",13.95,"control"
"45","BTBR T<+> Itpr3<tf>/J",2.633,"control"
"46","BTBR T<+> Itpr3<tf>/J",8.167,"control"
"47","BTBR T<+> Itpr3<tf>/J",3.067,"control"
"48","BTBR T<+> Itpr3<tf>/J",7.733,"control"
"49","BTBR T<+> Itpr3<tf>/J",4.033,"control"
"50","BTBR T<+> Itpr3<tf>/J",1.95,"control"
"51","BTBR T<+> Itpr3<tf>/J",6.25,"control"
"52","BTBR T<+> Itpr3<tf>/J",5.083,"control"
"53","BTBR T<+> Itpr3<tf>/J",15.98,"control"
"54","BTBR T<+> Itpr3<tf>/J",5.1,"control"
"55","C3H/HeJ",14.92,"control"
"56","C3H/HeJ",13.07,"control"
"57","C3H/HeJ",6.2,"control"
"58","C3H/HeJ",9.567,"control"
"59","C3H/HeJ",18.88,"control"
"60","C3H/HeJ",11.18,"control"
"61","C3H/HeJ",14.3,"control"
"62","C3H/HeJ",12.42,"control"
"63","C3H/HeJ",11.02,"control"
"64","C3H/HeJ",13.95,"control"
"65","C3H/HeJ",3.817,"control"
"66","C57BL/6J",10.23,"control"
"67","C57BL/6J",12.68,"control"
"68","C57BL/6J",14.5,"control"
"69","C57BL/6J",11.08,"control"
"70","C57BL/6J",15.08,"control"
"71","C57BL/6J",10.22,"control"
"72","C57BL/6J",8.75,"control"
"73","C57BL/6J",16.47,"control"
"74","C57BL/6J",19.87,"control"
"75","C57BL/6J",8.95,"control"
"76","C57BL/6J",12.92,"control"
"77","C57BL/6J",16.13,"control"
"78","C57BL/6J",6.517,"control"
"79","C57BL/6J",19.28,"control"
"80","C57BL/6J",12.45,"control"
"81","C57BL/6J",15.17,"control"
"82","C57BL/6J",17.78,"control"
"83","C57BL/6J",21.88,"control"
"84","C57BL/6J",15.83,"control"
"85","C57BL/6J",11.4,"control"
"86","C57BR/cdJ",33.93,"control"
"87","C57BR/cdJ",21.73,"control"
"88","C57BR/cdJ",24.43,"control"
"89","C57BR/cdJ",28.08,"control"
"90","C57BR/cdJ",30.18,"control"
"91","C57BR/cdJ",25.87,"control"
"92","C57L/J",27.6,"control"
"93","C57L/J",27.82,"control"
"94","C57L/J",38.4,"control"
"95","C57L/J",20.98,"control"
"96","C57L/J",28.72,"control"
"97","C57L/J",13.62,"control"
"98","C57L/J",26.27,"control"
"99","C57L/J",21.27,"control"
"100","C57L/J",26.2,"control"
"101","C57L/J",31.72,"control"
"102","C57L/J",18.75,"control"
"103","C58/J",19.23,"control"
"104","C58/J",15.85,"control"
"105","C58/J",21.62,"control"
"106","C58/J",9.95,"control"
"107","C58/J",12.48,"control"
"108","C58/J",22.68,"control"
"109","C58/J",39.82,"control"
"110","C58/J",16.18,"control"
"111","C58/J",14.88,"control"
"112","C58/J",16.77,"control"
"113","CBA/J",7.1,"control"
"114","CBA/J",7.583,"control"
"115","CBA/J",10.95,"control"
"116","CBA/J",16.78,"control"
"117","CBA/J",15.52,"control"
"118","CBA/J",0,"control"
"119","CBA/J",13.07,"control"
"120","CBA/J",14.85,"control"
"121","CBA/J",2.767,"control"
"122","CBA/J",8.65,"control"
"123","CBA/J",9.5,"control"
"124","CZECHII/EiJ",4.133,"control"
"125","CZECHII/EiJ",5.667,"control"
"126","CZECHII/EiJ",4.7,"control"
"127","CZECHII/EiJ",10.45,"control"
"128","CZECHII/EiJ",8.1,"control"
"129","DBA/2J",2.383,"control"
"130","DBA/2J",0,"control"
"131","DBA/2J",1.617,"control"
"132","DBA/2J",0.9667,"control"
"133","DBA/2J",4.233,"control"
"134","DBA/2J",1.133,"control"
"135","DBA/2J",3.7,"control"
"136","DBA/2J",0,"control"
"137","DBA/2J",0,"control"
"138","FVB/NJ",21.18,"control"
"139","FVB/NJ",13.62,"control"
"140","FVB/NJ",9.167,"control"
"141","FVB/NJ",16.12,"control"
"142","FVB/NJ",13.22,"control"
"143","FVB/NJ",13.38,"control"
"144","FVB/NJ",17.02,"control"
"145","FVB/NJ",10.35,"control"
"146","FVB/NJ",15,"control"
"147","FVB/NJ",15.12,"control"
"148","I/LnJ",15.17,"control"
"149","I/LnJ",18.77,"control"
"150","I/LnJ",12.27,"control"
"151","I/LnJ",12.63,"control"
"152","I/LnJ",8.95,"control"
"153","I/LnJ",18.33,"control"
"154","I/LnJ",9.017,"control"
"155","I/LnJ",4.217,"control"
"156","I/LnJ",16.88,"control"
"157","I/LnJ",16.85,"control"
"158","I/LnJ",11.52,"control"
"159","I/LnJ",10.23,"control"
"160","KK/HlJ",12.5,"control"
"161","KK/HlJ",9.983,"control"
"162","KK/HlJ",8.15,"control"
"163","KK/HlJ",19.22,"control"
"164","KK/HlJ",18.67,"control"
"165","KK/HlJ",10.92,"control"
"166","LG/J",11.58,"control"
"167","LG/J",9.333,"control"
"168","LG/J",21.5,"control"
"169","LG/J",16.43,"control"
"170","LG/J",10.88,"control"
"171","LG/J",13.57,"control"
"172","LG/J",0,"control"
"173","LG/J",21.13,"control"
"174","LG/J",10.18,"control"
"175","LG/J",23.92,"control"
"176","LP/J",4.117,"control"
"177","LP/J",1.15,"control"
"178","LP/J",2.4,"control"
"179","LP/J",4.617,"control"
"180","LP/J",4.1,"control"
"181","LP/J",0.9,"control"
"182","LP/J",3.517,"control"
"183","LP/J",8.317,"control"
"184","LP/J",3.633,"control"
"185","MA/MyJ",20.88,"control"
"186","MA/MyJ",29.55,"control"
"187","MA/MyJ",22,"control"
"188","MA/MyJ",17.9,"control"
"189","MA/MyJ",27.07,"control"
"190","MA/MyJ",18.38,"control"
"191","MA/MyJ",26.22,"control"
"192","MA/MyJ",27.13,"control"
"193","MA/MyJ",30.28,"control"
"194","MOLF/EiJ",9.667,"control"
"195","MOLF/EiJ",8.433,"control"
"196","MOLF/EiJ",21.93,"control"
"197","MOLF/EiJ",14.25,"control"
"198","MOLF/EiJ",16.63,"control"
"199","MOLF/EiJ",12.63,"control"
"200","MOLF/EiJ",8.817,"control"
"201","MRL/MpJ",7.4,"control"
"202","MRL/MpJ",9.35,"control"
"203","MRL/MpJ",6.85,"control"
"204","MRL/MpJ",7.133,"control"
"205","MRL/MpJ",4.133,"control"
"206","MRL/MpJ",21.13,"control"
"207","MRL/MpJ",12.77,"control"
"208","MRL/MpJ",10.35,"control"
"209","MRL/MpJ",3.467,"control"
"210","MRL/MpJ",13.4,"control"
"211","NOD/ShiLtJ",11.75,"control"
"212","NOD/ShiLtJ",13.23,"control"
"213","NOD/ShiLtJ",21.53,"control"
"214","NOD/ShiLtJ",16.93,"control"
"215","NOD/ShiLtJ",26.33,"control"
"216","NOD/ShiLtJ",9.267,"control"
"217","NOD/ShiLtJ",29.23,"control"
"218","NOD/ShiLtJ",31.82,"control"
"219","NOD/ShiLtJ",5.267,"control"
"220","NOD/ShiLtJ",17.82,"control"
"221","NON/ShiLtJ",9.533,"control"
"222","NON/ShiLtJ",12.85,"control"
"223","NON/ShiLtJ",10.45,"control"
"224","NON/ShiLtJ",14.1,"control"
"225","NON/ShiLtJ",16.48,"control"
"226","NON/ShiLtJ",9.433,"control"
