"","strain1","strain2","sig.at.both","not.sig.gxl"
"1","129S1/SvImJ","A/J",0,0
"2","129S1/SvImJ","AKR/J",2,0
"3","129S1/SvImJ","BALB/cByJ",1,0
"4","129S1/SvImJ","BTBR T<+> Itpr3<tf>/J",2,0
"5","129S1/SvImJ","C3H/HeJ",1,0
"6","129S1/SvImJ","C57BL/6J",0,1
"7","129S1/SvImJ","C57BLKS/J",0,0
"8","129S1/SvImJ","CAST/EiJ",2,0
"9","129S1/SvImJ","CBA/J",1,0
"10","129S1/SvImJ","DBA/2J",2,0
"11","129S1/SvImJ","DDY/JclSidSeyFrkJ",1,0
"12","129S1/SvImJ","FVB/NJ",1,0
"13","129S1/SvImJ","KK/HlJ",2,0
"14","129S1/SvImJ","MA/MyJ",0,0
"15","129S1/SvImJ","MOLF/EiJ",2,0
"16","129S1/SvImJ","MRL/MpJ",1,0
"17","129S1/SvImJ","MSM/MsJ",2,0
"18","129S1/SvImJ","NOD/ShiLtJ",1,0
"19","129S1/SvImJ","NON/ShiLtJ",2,0
"20","129S1/SvImJ","NZL/LtJ",1,0
"21","129S1/SvImJ","NZO/HlLtJ",1,0
"22","129S1/SvImJ","NZW/LacJ",2,0
"23","129S1/SvImJ","PWK/PhJ",2,0
"24","129S1/SvImJ","SJL/J",1,0
"25","129S1/SvImJ","SM/J",1,0
"26","129S1/SvImJ","WSB/EiJ",2,0
"27","129S1/SvImJ","BUB/BnJ",1,0
"28","129S1/SvImJ","C57BL/10J",0,0
"29","129S1/SvImJ","C57BR/cdJ",1,0
"30","129S1/SvImJ","C57L/J",0,0
"31","129S1/SvImJ","C58/J",0,0
"32","129S1/SvImJ","CE/J",1,0
"33","129S1/SvImJ","CZECHII/EiJ",1,0
"34","129S1/SvImJ","I/LnJ",0,0
"35","129S1/SvImJ","JF1/MsJ",1,0
"36","129S1/SvImJ","LP/J",0,0
"37","129S1/SvImJ","NZB/BlNJ",1,0
"38","129S1/SvImJ","PERA/EiJ",0,0
"39","129S1/SvImJ","PL/J",0,1
"40","129S1/SvImJ","RIIIS/J",1,0
"41","129S1/SvImJ","SEA/GnJ",0,1
"42","129S1/SvImJ","SPRET/EiJ",1,0
"43","129S1/SvImJ","SWR/J",0,0
"44","A/J","AKR/J",2,0
"45","A/J","BALB/cByJ",2,0
"46","A/J","BTBR T<+> Itpr3<tf>/J",2,0
"47","A/J","C3H/HeJ",0,1
"48","A/J","C57BL/6J",1,0
"49","A/J","C57BLKS/J",1,0
"50","A/J","CAST/EiJ",2,0
"51","A/J","CBA/J",2,0
"52","A/J","DBA/2J",1,1
"53","A/J","DDY/JclSidSeyFrkJ",1,0
"54","A/J","FVB/NJ",1,0
"55","A/J","KK/HlJ",2,0
"56","A/J","MA/MyJ",0,0
"57","A/J","MOLF/EiJ",2,0
"58","A/J","MRL/MpJ",1,0
"59","A/J","MSM/MsJ",2,0
"60","A/J","NOD/ShiLtJ",1,1
"61","A/J","NON/ShiLtJ",2,0
"62","A/J","NZL/LtJ",1,0
