measnum,projsym,varname,label,strain,sex,value,animal_id,stocknum,strainid
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,19.1,2,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,17.9,3,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,18.3,368,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,20.2,369,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,18.8,370,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,19.4,371,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,18.3,372,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,17.2,4,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,19.7,5,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,24.3,10,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,25.3,364,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,21.4,365,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,24.5,366,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,24,367,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,21.6,6,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,22.7,7,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,f,19.3,1,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,24.4,9,002448,3
10305,Tordoff3,bw_start,start,129S1/SvImJ,m,25.4,8,002448,3
10305,Tordoff3,bw_start,start,A/J,f,22.2,11,000646,4
10305,Tordoff3,bw_start,start,A/J,f,22.5,13,000646,4
10305,Tordoff3,bw_start,start,A/J,f,20.7,14,000646,4
10305,Tordoff3,bw_start,start,A/J,m,25.1,305,000646,4
10305,Tordoff3,bw_start,start,A/J,m,22.3,302,000646,4
10305,Tordoff3,bw_start,start,A/J,m,22.1,301,000646,4
10305,Tordoff3,bw_start,start,A/J,m,22.2,20,000646,4
10305,Tordoff3,bw_start,start,A/J,m,23.5,19,000646,4
10305,Tordoff3,bw_start,start,A/J,m,29.4,18,000646,4
10305,Tordoff3,bw_start,start,A/J,m,24.7,304,000646,4
10305,Tordoff3,bw_start,start,A/J,m,25.9,17,000646,4
10305,Tordoff3,bw_start,start,A/J,m,26.7,16,000646,4
10305,Tordoff3,bw_start,start,A/J,f,18.9,310,000646,4
10305,Tordoff3,bw_start,start,A/J,m,19.8,303,000646,4
10305,Tordoff3,bw_start,start,A/J,f,17.8,309,000646,4
10305,Tordoff3,bw_start,start,A/J,f,18.1,308,000646,4
10305,Tordoff3,bw_start,start,A/J,f,20.5,307,000646,4
10305,Tordoff3,bw_start,start,A/J,f,19.1,306,000646,4
10305,Tordoff3,bw_start,start,A/J,f,20.9,15,000646,4
10305,Tordoff3,bw_start,start,A/J,f,28.5,12,000646,4
10305,Tordoff3,bw_start,start,AKR/J,m,35.2,108,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,29.6,375,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,37.4,100,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,23.1,101,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,29.2,102,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,22,378,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,21.1,379,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,18.9,380,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,24,97,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,28.7,98,000648,15
10305,Tordoff3,bw_start,start,AKR/J,f,31,99,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,30.8,107,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,29.9,109,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,30.7,110,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,28.8,111,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,34.1,373,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,28.5,374,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,32.5,377,000648,15
10305,Tordoff3,bw_start,start,AKR/J,m,28.9,376,000648,15
10305,Tordoff3,bw_start,start,BALB/cByJ,m,25.5,347,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,24.8,348,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,26.4,349,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,28.6,35,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,26.3,36,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,28.9,350,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,20.4,25,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,22.5,26,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,22.3,27,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,24.5,28,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,23,29,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,23.8,30,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,21.3,351,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,20.6,352,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,f,21.3,353,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,26.4,31,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,26.4,32,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,28.9,33,001026,50
10305,Tordoff3,bw_start,start,BALB/cByJ,m,27.9,34,001026,50
10305,Tordoff3,bw_start,start,BTBR T<+> Itpr3<tf>/J,m,29.9,925,002282,1
